[ 2025-09-19 12:05:10 | ActorPool | WARNING ] No GPUs available. Actors will run on CPU only.
[ 2025-09-19 12:05:10 | ActorPool | INFO ] Initialized with 1 actors, 0 GPU per actor
[ 2025-09-19 12:05:10 | 127.0.0.1:53291 | INFO ] 🏁 Starting gossiper...
[ 2025-09-19 12:05:10 | 127.0.0.1:62567 | INFO ] 🏁 Starting gossiper...
[ 2025-09-19 12:05:10 | 127.0.0.1:53291 | INFO ] 🚀 Broadcasting start learning...
[ 2025-09-19 12:05:10 | 127.0.0.1:62567 | INFO ] ⏳ Waiting initialization.
[ 2025-09-19 12:05:10 | 127.0.0.1:53291 | INFO ] ⏳ Waiting initialization.
[ 2025-09-19 12:05:10 | 127.0.0.1:53291 | INFO ] 🗣️ Gossiping model initialization.
[ 2025-09-19 12:05:11 | 127.0.0.1:62567 | INFO ] 🤖 Model Weights Initialized
[ 2025-09-19 12:05:11 | 127.0.0.1:62567 | INFO ] 🗣️ Gossiping model initialization.
[ 2025-09-19 12:05:13 | 127.0.0.1:62567 | INFO ] 🤫 Gossip finished.
[ 2025-09-19 12:05:13 | 127.0.0.1:62567 | INFO ] 🗳️ Sending train set vote.
[ 2025-09-19 12:05:14 | 127.0.0.1:53291 | INFO ] 🤫 Gossip finished.
[ 2025-09-19 12:05:14 | 127.0.0.1:53291 | INFO ] 🗳️ Sending train set vote.
[ 2025-09-19 12:05:14 | 127.0.0.1:62567 | INFO ] 🔢 Computed 2 votes.
[ 2025-09-19 12:05:14 | 127.0.0.1:62567 | INFO ] 🚂 Train set of 2 nodes: ['127.0.0.1:62567', '127.0.0.1:53291']
[ 2025-09-19 12:05:14 | 127.0.0.1:53291 | INFO ] 🔢 Computed 2 votes.
[ 2025-09-19 12:05:14 | 127.0.0.1:53291 | INFO ] 🚂 Train set of 2 nodes: ['127.0.0.1:62567', '127.0.0.1:53291']
[ 2025-09-19 12:05:14 | 127.0.0.1:62567 | INFO ] 🔬 Evaluating...
[ 2025-09-19 12:05:14 | 127.0.0.1:53291 | INFO ] 🔬 Evaluating...
[ 2025-09-19 12:05:36 | 127.0.0.1:62567 | INFO ] 📈 Evaluated. Results: {'test_loss': 8.6522798538208, 'test_metric': 0.12219999730587006}
[ 2025-09-19 12:05:36 | 127.0.0.1:62567 | INFO ] 📢 Broadcasting metrics.
[ 2025-09-19 12:05:36 | 127.0.0.1:62567 | INFO ] 🏋️‍♀️ Training...
[ 2025-09-19 12:05:37 | 127.0.0.1:53291 | INFO ] 📈 Evaluated. Results: {'test_loss': 8.64216136932373, 'test_metric': 0.13740000128746033}
[ 2025-09-19 12:05:37 | 127.0.0.1:53291 | INFO ] 📢 Broadcasting metrics.
[ 2025-09-19 12:05:37 | 127.0.0.1:53291 | INFO ] 🏋️‍♀️ Training...
[ 2025-09-19 12:05:47 | 127.0.0.1:62567 | INFO ] 🎓 Training done.
[ 2025-09-19 12:05:47 | 127.0.0.1:62567 | INFO ] 🧩 Model added (1/2) from ['127.0.0.1:62567']
[ 2025-09-19 12:05:47 | 127.0.0.1:53291 | INFO ] 🧩 Model added (1/2) from ['127.0.0.1:62567']
[ 2025-09-19 12:05:54 | 127.0.0.1:53291 | INFO ] Stopping node...
[ 2025-09-19 12:05:54 | 127.0.0.1:53291 | INFO ] 🛑 Stopping gossiper...
[ 2025-09-19 12:05:54 | 127.0.0.1:62567 | INFO ] Stopping node...
[ 2025-09-19 12:05:54 | 127.0.0.1:62567 | INFO ] 🛑 Stopping gossiper...
[ 2025-09-19 12:05:55 | 127.0.0.1:62567 | INFO ] Stopping model gossip process.
[ 2025-09-19 12:05:55 | 127.0.0.1:62567 | INFO ] Stopping Wokflow.
