tag,method,topology,scheme,nodes,cycles,gossip_k,lambda_reg,seed,node,n_local,test_acc,hinge_loss,duality_gap,consensus_err,comm_bytes,components
covtype,bdsvm,full,dirichlet_0.1,10,100,1,0.01,42,0,111,0.7174,0.7883545728592299,nan,4.222901790069331,16483200,1
covtype,bdsvm,full,dirichlet_0.1,10,100,1,0.01,42,1,2160,0.7183,0.4984648815522022,nan,4.222901790069331,16483200,1
covtype,bdsvm,full,dirichlet_0.1,10,100,1,0.01,42,2,11171,0.7188,0.49180521475853706,nan,4.222901790069331,16153536,1
covtype,bdsvm,full,dirichlet_0.1,10,100,1,0.01,42,3,110,0.72,0.6136602205307068,nan,4.222901790069331,16400784,1
covtype,bdsvm,full,dirichlet_0.1,10,100,1,0.01,42,4,4214,0.717,0.4971288007003227,nan,4.222901790069331,16400784,1
covtype,bdsvm,full,dirichlet_0.1,10,100,1,0.01,42,5,1,0.7177,1.356709971598724,nan,4.222901790069331,16318368,1
covtype,bdsvm,full,dirichlet_0.1,10,100,1,0.01,42,6,302,0.7176,0.6447747704736152,nan,4.222901790069331,16483200,1
covtype,bdsvm,full,dirichlet_0.1,10,100,1,0.01,42,7,16592,0.7218,0.7074016144272309,nan,4.222901790069331,16318368,1
covtype,bdsvm,full,dirichlet_0.1,10,100,1,0.01,42,8,1060,0.7199,0.5804455329957254,nan,4.222901790069331,16400784,1
covtype,bdsvm,full,dirichlet_0.1,10,100,1,0.01,42,9,4279,0.7181,0.6098895465405862,nan,4.222901790069331,16400784,1
covtype,bdsvm,full,dirichlet_0.3,10,100,1,0.01,42,0,746,0.7422,0.612305412461761,nan,6.241272764032426,16483200,1
covtype,bdsvm,full,dirichlet_0.3,10,100,1,0.01,42,1,3023,0.7425,0.5722616182761314,nan,6.241272764032426,16483200,1
covtype,bdsvm,full,dirichlet_0.3,10,100,1,0.01,42,2,6249,0.7421,0.5607676005346747,nan,6.241272764032426,16153536,1
covtype,bdsvm,full,dirichlet_0.3,10,100,1,0.01,42,3,1084,0.7408,0.6413022017634934,nan,6.241272764032426,16400784,1
covtype,bdsvm,full,dirichlet_0.3,10,100,1,0.01,42,4,4177,0.7425,0.5809196124059337,nan,6.241272764032426,16400784,1
covtype,bdsvm,full,dirichlet_0.3,10,100,1,0.01,42,5,301,0.743,0.6566973992297651,nan,6.241272764032426,16318368,1
covtype,bdsvm,full,dirichlet_0.3,10,100,1,0.01,42,6,10200,0.7426,0.6407011892824067,nan,6.241272764032426,16483200,1
covtype,bdsvm,full,dirichlet_0.3,10,100,1,0.01,42,7,4364,0.7425,0.6525002219813312,nan,6.241272764032426,16318368,1
covtype,bdsvm,full,dirichlet_0.3,10,100,1,0.01,42,8,3745,0.7421,0.5773036123809487,nan,6.241272764032426,16400784,1
covtype,bdsvm,full,dirichlet_0.3,10,100,1,0.01,42,9,6111,0.7429,0.5773924629931477,nan,6.241272764032426,16400784,1
covtype,bdsvm,full,dirichlet_1.0,10,100,1,0.01,42,0,4326,0.7265,0.5505002820954198,nan,6.970702024419053,16483200,1
covtype,bdsvm,full,dirichlet_1.0,10,100,1,0.01,42,1,2902,0.7263,0.6682846281868045,nan,6.970702024419053,16483200,1
covtype,bdsvm,full,dirichlet_1.0,10,100,1,0.01,42,2,4488,0.7257,0.6214374410224871,nan,6.970702024419053,16153536,1
covtype,bdsvm,full,dirichlet_1.0,10,100,1,0.01,42,3,793,0.7256,0.5791649690267984,nan,6.970702024419053,16400784,1
covtype,bdsvm,full,dirichlet_1.0,10,100,1,0.01,42,4,1582,0.7252,0.5628855950045057,nan,6.970702024419053,16400784,1
covtype,bdsvm,full,dirichlet_1.0,10,100,1,0.01,42,5,3208,0.7255,0.5669986900821022,nan,6.970702024419053,16318368,1
covtype,bdsvm,full,dirichlet_1.0,10,100,1,0.01,42,6,6003,0.7256,0.5904452024200464,nan,6.970702024419053,16483200,1
covtype,bdsvm,full,dirichlet_1.0,10,100,1,0.01,42,7,6151,0.7246,0.6680222786971451,nan,6.970702024419053,16318368,1
covtype,bdsvm,full,dirichlet_1.0,10,100,1,0.01,42,8,3352,0.727,0.6589468963237187,nan,6.970702024419053,16400784,1
covtype,bdsvm,full,dirichlet_1.0,10,100,1,0.01,42,9,7195,0.7258,0.5794410361386118,nan,6.970702024419053,16400784,1
covtype,bdsvm,full,iid,10,100,1,0.01,42,0,4000,0.7242,0.605733675354394,nan,6.012556059494605,16483200,1
covtype,bdsvm,full,iid,10,100,1,0.01,42,1,4000,0.7238,0.644566653112683,nan,6.012556059494605,16483200,1
covtype,bdsvm,full,iid,10,100,1,0.01,42,2,4000,0.7235,0.6025839482760413,nan,6.012556059494605,16153536,1
covtype,bdsvm,full,iid,10,100,1,0.01,42,3,4000,0.7246,0.6321625553498902,nan,6.012556059494605,16400784,1
covtype,bdsvm,full,iid,10,100,1,0.01,42,4,4000,0.7231,0.5966702536823889,nan,6.012556059494605,16400784,1
