tag,method,topology,scheme,nodes,gossip_k,components,node,round,test_acc,hinge_loss,primal,duality_gap,comm_bytes,wall_time
covtype,bdsvm,ring,dirichlet_0.1,10,2,1,0,1,0.4825,nan,nan,nan,0,0.049
covtype,bdsvm,ring,dirichlet_0.1,10,2,1,0,2,0.4825,nan,nan,nan,0,0.091
covtype,bdsvm,ring,dirichlet_0.1,10,2,1,0,3,0.4825,nan,nan,nan,164832,0.132
covtype,bdsvm,ring,dirichlet_0.1,10,2,1,0,4,0.5175,nan,nan,nan,329664,0.183
covtype,bdsvm,ring,dirichlet_0.1,10,2,1,0,5,0.5175,nan,nan,nan,494496,0.225
covtype,bdsvm,ring,dirichlet_0.1,10,2,1,0,6,0.5175,nan,nan,nan,659328,0.275
covtype,bdsvm,ring,dirichlet_0.1,10,2,1,0,7,0.5175,nan,nan,nan,824160,0.316
covtype,bdsvm,ring,dirichlet_0.1,10,2,1,0,8,0.5175,nan,nan,nan,988992,0.362
covtype,bdsvm,ring,dirichlet_0.1,10,2,1,0,9,0.5175,nan,nan,nan,1153824,0.402
covtype,bdsvm,ring,dirichlet_0.1,10,2,1,0,10,0.5175,nan,nan,nan,1318656,0.449
covtype,bdsvm,ring,dirichlet_0.1,10,2,1,0,11,0.5175,nan,nan,nan,1483488,0.493
covtype,bdsvm,ring,dirichlet_0.1,10,2,1,0,12,0.5175,nan,nan,nan,1648320,0.537
covtype,bdsvm,ring,dirichlet_0.1,10,2,1,0,13,0.5175,nan,nan,nan,1813152,0.583
covtype,bdsvm,ring,dirichlet_0.1,10,2,1,0,14,0.5175,nan,nan,nan,1977984,0.621
covtype,bdsvm,ring,dirichlet_0.1,10,2,1,0,15,0.5175,nan,nan,nan,2142816,0.665
covtype,bdsvm,ring,dirichlet_0.1,10,2,1,0,16,0.5175,nan,nan,nan,2307648,0.713
covtype,bdsvm,ring,dirichlet_0.1,10,2,1,0,17,0.5175,nan,nan,nan,2472480,0.758
covtype,bdsvm,ring,dirichlet_0.1,10,2,1,0,18,0.5175,nan,nan,nan,2637312,0.804
covtype,bdsvm,ring,dirichlet_0.1,10,2,1,0,19,0.5175,nan,nan,nan,2802144,0.843
covtype,bdsvm,ring,dirichlet_0.1,10,2,1,0,20,0.5175,nan,nan,nan,2966976,0.886
covtype,bdsvm,ring,dirichlet_0.1,10,2,1,0,21,0.5175,nan,nan,nan,3131808,0.935
covtype,bdsvm,ring,dirichlet_0.1,10,2,1,0,22,0.5175,nan,nan,nan,3296640,0.975
covtype,bdsvm,ring,dirichlet_0.1,10,2,1,0,23,0.5175,nan,nan,nan,3461472,1.021
covtype,bdsvm,ring,dirichlet_0.1,10,2,1,0,24,0.5175,nan,nan,nan,3626304,1.066
covtype,bdsvm,ring,dirichlet_0.1,10,2,1,0,25,0.5175,nan,nan,nan,3791136,1.114
covtype,bdsvm,ring,dirichlet_0.1,10,2,1,0,26,0.5175,nan,nan,nan,3955968,1.16
covtype,bdsvm,ring,dirichlet_0.1,10,2,1,0,27,0.5175,nan,nan,nan,4120800,1.204
covtype,bdsvm,ring,dirichlet_0.1,10,2,1,0,28,0.5175,nan,nan,nan,4285632,1.252
covtype,bdsvm,ring,dirichlet_0.1,10,2,1,0,29,0.5175,nan,nan,nan,4450464,1.302
covtype,bdsvm,ring,dirichlet_0.1,10,2,1,0,30,0.5175,nan,nan,nan,4615296,1.347
covtype,bdsvm,ring,dirichlet_0.1,10,2,1,0,31,0.5175,nan,nan,nan,4780128,1.398
