tag,method,topology,scheme,nodes,gossip_k,components,node,round,test_acc,hinge_loss,primal,duality_gap,comm_bytes,wall_time
covtype,bdsvm,ring,iid,10,2,1,0,1,0.4825,1.0,1.0,nan,164832,0.047
covtype,bdsvm,ring,iid,10,2,1,0,2,0.7353333333333333,0.8721901723420973,0.8038488744011961,nan,494496,0.089
covtype,bdsvm,ring,iid,10,2,1,0,3,0.7305,0.7987670024389916,0.7461891805600948,nan,824160,0.132
covtype,bdsvm,ring,iid,10,2,1,0,4,0.728,0.7497077556769522,0.7297427557699486,nan,1153824,0.179
covtype,bdsvm,ring,iid,10,2,1,0,5,0.7245,0.7237929344054747,0.7298750076894228,nan,1483488,0.22
covtype,bdsvm,ring,iid,10,2,1,0,6,0.721,0.702331410826176,0.7384083652142308,nan,1813152,0.266
covtype,bdsvm,ring,iid,10,2,1,0,7,0.7211666666666666,0.691586481456336,0.7426937363939656,nan,2142816,0.309
covtype,bdsvm,ring,iid,10,2,1,0,8,0.7206666666666667,0.6857949222920809,0.7456184989641524,nan,2472480,0.351
covtype,bdsvm,ring,iid,10,2,1,0,9,0.7241666666666666,0.6815453291393865,0.7454634387186395,nan,2802144,0.398
covtype,bdsvm,ring,iid,10,2,1,0,10,0.7253333333333334,0.6794504727340743,0.7437004051648199,nan,3131808,0.44
covtype,bdsvm,ring,iid,10,2,1,0,11,0.7271666666666666,0.6783209300225506,0.7429549489286009,nan,3461472,0.483
covtype,bdsvm,ring,iid,10,2,1,0,12,0.7271666666666666,0.677295116222602,0.7429573023462942,nan,3791136,0.527
covtype,bdsvm,ring,iid,10,2,1,0,13,0.7263333333333334,0.675791096060062,0.7443433111944264,nan,4120800,0.574
covtype,bdsvm,ring,iid,10,2,1,0,14,0.7263333333333334,0.6749726373100445,0.7451796876852068,nan,4450464,0.615
covtype,bdsvm,ring,iid,10,2,1,0,15,0.7255,0.6728076355057039,0.7480519804585749,nan,4780128,0.658
covtype,bdsvm,ring,iid,10,2,1,0,16,0.725,0.6715716065307261,0.7497291719439523,nan,5109792,0.701
covtype,bdsvm,ring,iid,10,2,1,0,17,0.7246666666666667,0.6715597763383067,0.7499900168829413,nan,5439456,0.748
covtype,bdsvm,ring,iid,10,2,1,0,18,0.7241666666666666,0.6686116209347972,0.7530350109685149,nan,5769120,0.791
covtype,bdsvm,ring,iid,10,2,1,0,19,0.724,0.666821614313593,0.7548442664973806,nan,6098784,0.833
covtype,bdsvm,ring,iid,10,2,1,0,20,0.7245,0.6658533420216894,0.7558949965285607,nan,6428448,0.875
covtype,bdsvm,ring,iid,10,2,1,0,21,0.7243333333333334,0.6650050407994549,0.7570934881570403,nan,6758112,0.921
covtype,bdsvm,ring,iid,10,2,1,0,22,0.7246666666666667,0.6644983058535636,0.7577500891820764,nan,7087776,0.966
covtype,bdsvm,ring,iid,10,2,1,0,23,0.7245,0.6641941164185079,0.7581436673490657,nan,7417440,1.007
covtype,bdsvm,ring,iid,10,2,1,0,24,0.7231666666666666,0.6652699270416766,0.7563157095936373,nan,7747104,1.053
covtype,bdsvm,ring,iid,10,2,1,0,25,0.724,0.6628649952046166,0.7603548811265274,nan,8076768,1.097
covtype,bdsvm,ring,iid,10,2,1,0,26,0.7246666666666667,0.6615100812728433,0.7627433651200873,nan,8406432,1.14
covtype,bdsvm,ring,iid,10,2,1,0,27,0.7191666666666666,0.6587708599367449,0.7681554121032358,nan,8736096,1.181
covtype,bdsvm,ring,iid,10,2,1,0,28,0.7166666666666667,0.6564234740872144,0.7733632218144341,nan,9065760,1.227
covtype,bdsvm,ring,iid,10,2,1,0,29,0.7151666666666666,0.6550851986733212,0.7763961505600876,nan,9395424,1.267
covtype,bdsvm,ring,iid,10,2,1,0,30,0.7153333333333334,0.6543134081366391,0.7782886333908648,nan,9725088,1.311
covtype,bdsvm,ring,iid,10,2,1,0,31,0.716,0.6525772501999207,0.7806515581033737,nan,10054752,1.359
covtype,bdsvm,ring,iid,10,2,1,0,32,0.7158333333333333,0.6516481704658204,0.781726223359961,nan,10384416,1.403
covtype,bdsvm,ring,iid,10,2,1,0,33,0.7155,0.6505235763098152,0.7840924500135558,nan,10714080,1.449
covtype,bdsvm,ring,iid,10,2,1,0,34,0.7156666666666667,0.6498525195299691,0.7854959403015584,nan,11043744,1.491
covtype,bdsvm,ring,iid,10,2,1,0,35,0.7156666666666667,0.6492695331270371,0.7869348619401716,nan,11373408,1.535
covtype,bdsvm,ring,iid,10,2,1,0,36,0.715,0.6503955101973822,0.7850859254568512,nan,11703072,1.578
covtype,bdsvm,ring,iid,10,2,1,0,37,0.7155,0.650967253965289,0.7841272748231591,nan,12032736,1.622
covtype,bdsvm,ring,iid,10,2,1,0,38,0.7155,0.6511554380098054,0.7838514148248963,nan,12362400,1.664
covtype,bdsvm,ring,iid,10,2,1,0,39,0.7158333333333333,0.6498672683859591,0.7856694808837762,nan,12692064,1.711
covtype,bdsvm,ring,iid,10,2,1,0,40,0.7153333333333334,0.6491638652619174,0.7867479555187777,nan,13021728,1.756
covtype,bdsvm,ring,iid,10,2,1,0,41,0.7153333333333334,0.6483879786249639,0.7882675126239795,nan,13351392,1.798
covtype,bdsvm,ring,iid,10,2,1,0,42,0.7151666666666666,0.6478918554900701,0.7890529233205638,nan,13681056,1.844
covtype,bdsvm,ring,iid,10,2,1,0,43,0.7151666666666666,0.6476236455917558,0.7894852628742909,nan,14010720,1.889
covtype,bdsvm,ring,iid,10,2,1,0,44,0.7151666666666666,0.6471460818753372,0.790101025353451,nan,14340384,1.932
covtype,bdsvm,ring,iid,10,2,1,0,45,0.715,0.6469466706491785,0.7905310202875061,nan,14670048,1.975
covtype,bdsvm,ring,iid,10,2,1,0,46,0.7136666666666667,0.6485825953695971,0.7895269549021852,nan,14999712,2.02
covtype,bdsvm,ring,iid,10,2,1,0,47,0.7131666666666666,0.6495629560195114,0.7887581553678442,nan,15329376,2.063
covtype,bdsvm,ring,iid,10,2,1,0,48,0.7133333333333334,0.6505525742492885,0.7876313588016631,nan,15659040,2.108
covtype,bdsvm,ring,iid,10,2,1,0,49,0.7131666666666666,0.6505688019392166,0.787925045608472,nan,15988704,2.155
covtype,bdsvm,ring,iid,10,2,1,0,50,0.7136666666666667,0.6489887753725484,0.7891361895281076,nan,16318368,2.201
covtype,bdsvm,ring,iid,10,2,1,0,51,0.7146666666666667,0.6478151294040932,0.7895283251139499,nan,16648032,2.245
covtype,bdsvm,ring,iid,10,2,1,0,52,0.7146666666666667,0.6472213151967376,0.7898314009136957,nan,16977696,2.288
covtype,bdsvm,ring,iid,10,2,1,0,53,0.715,0.6486001439549665,0.7870220054342785,nan,17307360,2.337
covtype,bdsvm,ring,iid,10,2,1,0,54,0.7151666666666666,0.6494354300568667,0.7854433587594184,nan,17637024,2.381
covtype,bdsvm,ring,iid,10,2,1,0,55,0.7153333333333334,0.6499339605477173,0.78458661251126,nan,17966688,2.423
covtype,bdsvm,ring,iid,10,2,1,0,56,0.7155,0.6502966709717577,0.7843104482170711,nan,18296352,2.468
