tag,method,topology,scheme,nodes,gossip_k,components,node,round,test_acc,hinge_loss,primal,duality_gap,comm_bytes,wall_time
covtype,cocoa_plus,ring,dirichlet_0.1,10,2,1,0,1,0.5175,nan,nan,nan,432,0.004
covtype,cocoa_plus,ring,dirichlet_0.1,10,2,1,0,2,0.5175,nan,nan,nan,864,0.007
covtype,cocoa_plus,ring,dirichlet_0.1,10,2,1,0,3,0.5175,nan,nan,nan,1296,0.01
covtype,cocoa_plus,ring,dirichlet_0.1,10,2,1,0,4,0.5175,nan,nan,nan,1728,0.016
covtype,cocoa_plus,ring,dirichlet_0.1,10,2,1,0,5,0.5175,nan,nan,nan,2160,0.022
covtype,cocoa_plus,ring,dirichlet_0.1,10,2,1,0,6,0.5175,nan,nan,nan,2592,0.027
covtype,cocoa_plus,ring,dirichlet_0.1,10,2,1,0,7,0.5175,nan,nan,nan,3024,0.028
covtype,cocoa_plus,ring,dirichlet_0.1,10,2,1,0,8,0.5175,nan,nan,nan,3456,0.036
covtype,cocoa_plus,ring,dirichlet_0.1,10,2,1,0,9,0.5175,nan,nan,nan,3888,0.037
covtype,cocoa_plus,ring,dirichlet_0.1,10,2,1,0,10,0.5175,nan,nan,nan,4320,0.043
covtype,cocoa_plus,ring,dirichlet_0.1,10,2,1,0,11,0.5175,nan,nan,nan,4752,0.045
covtype,cocoa_plus,ring,dirichlet_0.1,10,2,1,0,12,0.5175,nan,nan,nan,5184,0.053
covtype,cocoa_plus,ring,dirichlet_0.1,10,2,1,0,13,0.5175,nan,nan,nan,5616,0.057
covtype,cocoa_plus,ring,dirichlet_0.1,10,2,1,0,14,0.5175,nan,nan,nan,6048,0.059
covtype,cocoa_plus,ring,dirichlet_0.1,10,2,1,0,15,0.5175,nan,nan,nan,6480,0.065
covtype,cocoa_plus,ring,dirichlet_0.1,10,2,1,0,16,0.5175,nan,nan,nan,6912,0.069
covtype,cocoa_plus,ring,dirichlet_0.1,10,2,1,0,17,0.5175,nan,nan,nan,7344,0.071
covtype,cocoa_plus,ring,dirichlet_0.1,10,2,1,0,18,0.5175,nan,nan,nan,7776,0.077
