tag,method,topology,scheme,nodes,gossip_k,components,node,round,test_acc,hinge_loss,primal,duality_gap,comm_bytes,wall_time
covtype,cocoa_plus,ring,iid,10,2,1,0,1,0.5471666666666667,0.9794619089881458,0.9796363663264351,0.9401487306323092,432,0.007
covtype,cocoa_plus,ring,iid,10,2,1,0,2,0.5176666666666667,0.961914568022591,0.9624196341501073,0.883740165440912,864,0.011
covtype,cocoa_plus,ring,iid,10,2,1,0,3,0.5175,0.9458003815301312,0.9469578584461091,0.8331146966925871,1296,0.016
covtype,cocoa_plus,ring,iid,10,2,1,0,4,0.6081666666666666,0.9238590270508856,0.9255364882522107,0.774775560633982,1728,0.023
covtype,cocoa_plus,ring,iid,10,2,1,0,5,0.5175,0.9089110704369207,0.9125301911260296,0.7322427407460883,2160,0.035
covtype,cocoa_plus,ring,iid,10,2,1,0,6,0.5175,0.8921051285889399,0.896151679540838,0.6803099365045635,2592,0.041
covtype,cocoa_plus,ring,iid,10,2,1,0,7,0.5175,0.9392370318357407,0.9452631536234676,0.7037121213302773,3024,0.047
covtype,cocoa_plus,ring,iid,10,2,1,0,8,0.5175,0.9125327138776497,0.9190639282191709,0.6545942166941121,3456,0.054
covtype,cocoa_plus,ring,iid,10,2,1,0,9,0.5968333333333333,0.86221563532232,0.869071052830952,0.5820965927161801,3888,0.06
covtype,cocoa_plus,ring,iid,10,2,1,0,10,0.5986666666666667,0.8602649550517041,0.8673048191335935,0.5541511696851716,4320,0.065
covtype,cocoa_plus,ring,iid,10,2,1,0,11,0.5175,0.904809605190933,0.9134422474079135,0.5751165194730283,4752,0.069
covtype,cocoa_plus,ring,iid,10,2,1,0,12,0.5175,1.0964462413244715,1.107872320411431,0.7561652690436789,5184,0.081
covtype,cocoa_plus,ring,iid,10,2,1,0,13,0.5175,0.9779856861216827,0.988199180422525,0.6253453862713241,5616,0.084
covtype,cocoa_plus,ring,iid,10,2,1,0,14,0.5175,0.9363745077716513,0.9461443572508498,0.5660198326632913,6048,0.088
covtype,cocoa_plus,ring,iid,10,2,1,0,15,0.5175,1.4194512764926046,1.4347624552438945,1.0523964271546367,6480,0.097
covtype,cocoa_plus,ring,iid,10,2,1,0,16,0.5175,1.4064291004598244,1.4219354741782053,1.0348542416073165,6912,0.101
covtype,cocoa_plus,ring,iid,10,2,1,0,17,0.5175,1.85108241091451,1.873611396429747,1.487080476450449,7344,0.108
covtype,cocoa_plus,ring,iid,10,2,1,0,18,0.5175,1.6250850975909372,1.6438195508369347,1.2589225678179872,7776,0.112
covtype,cocoa_plus,ring,iid,10,2,1,0,19,0.5175,1.949002498268923,1.973891861244878,1.5928394629057634,8208,0.118
covtype,cocoa_plus,ring,iid,10,2,1,0,20,0.5175,1.767510187216654,1.789002012797251,1.4097286722900948,8640,0.124
covtype,cocoa_plus,ring,iid,10,2,1,0,21,0.5175,2.3542024124999767,2.3890098114152676,2.013026308215927,9072,0.132
covtype,cocoa_plus,ring,iid,10,2,1,0,22,0.5175,2.474416226036148,2.512988682723837,2.141536667547329,9504,0.137
covtype,cocoa_plus,ring,iid,10,2,1,0,23,0.5175,2.3004728966723476,2.33470216406093,1.9655049551486738,9936,0.139
covtype,cocoa_plus,ring,iid,10,2,1,0,24,0.5175,3.055045029448613,3.111548668073758,2.749307493343078,10368,0.149
covtype,cocoa_plus,ring,iid,10,2,1,0,25,0.5175,3.1822292334456246,3.24348550802658,2.890879090712637,10800,0.154
covtype,cocoa_plus,ring,iid,10,2,1,0,26,0.5175,3.153901770510344,3.2142018413027804,2.867458354898935,11232,0.158
covtype,cocoa_plus,ring,iid,10,2,1,0,27,0.5175,3.5236035940530503,3.5983794388654435,3.2556877497318366,11664,0.164
covtype,cocoa_plus,ring,iid,10,2,1,0,28,0.5175,3.364123472227456,3.4324350219506043,3.0940181058852074,12096,0.167
covtype,cocoa_plus,ring,iid,10,2,1,0,29,0.5175,3.9182846883818714,4.011384111134729,3.6745528347031784,12528,0.175
covtype,cocoa_plus,ring,iid,10,2,1,0,30,0.5175,3.7797663940210655,3.866721263350995,3.5366082798472624,12960,0.177
covtype,cocoa_plus,ring,iid,10,2,1,0,31,0.5175,4.000451897325303,4.097608995678212,3.773873650608718,13392,0.182
covtype,cocoa_plus,ring,iid,10,2,1,0,32,0.5175,4.500647796627002,4.623470982845741,4.305657218140988,13824,0.19
covtype,cocoa_plus,ring,iid,10,2,1,0,33,0.5175,4.389964395683031,4.507021287005167,4.196718173939578,14256,0.193
covtype,cocoa_plus,ring,iid,10,2,1,0,34,0.5175,5.053137160405973,5.208821259007315,4.903980760564528,14688,0.2
covtype,cocoa_plus,ring,iid,10,2,1,0,35,0.5175,4.942571340087254,5.091577334287961,4.793835866996756,15120,0.202
covtype,cocoa_plus,ring,iid,10,2,1,0,36,0.5175,5.186974506652596,5.350971694863083,5.058812911444595,15552,0.207
covtype,cocoa_plus,ring,iid,10,2,1,0,37,0.5175,5.674005652952885,5.870307336736416,5.5813285811386715,15984,0.216
covtype,cocoa_plus,ring,iid,10,2,1,0,38,0.5175,6.127023850482612,6.356383238834052,6.074211423731485,16416,0.221
covtype,cocoa_plus,ring,iid,10,2,1,0,39,0.5175,6.034763093908076,6.25732728453422,5.979120097246338,16848,0.222
covtype,cocoa_plus,ring,iid,10,2,1,0,40,0.5175,6.310294837795919,6.553850934945768,6.280845580229683,17280,0.229
covtype,cocoa_plus,ring,iid,10,2,1,0,41,0.5175,6.6100706926435695,6.877614485368179,6.6076828211331184,17712,0.236
covtype,cocoa_plus,ring,iid,10,2,1,0,42,0.5175,6.5277192380243525,6.788831778984664,6.525088525480392,18144,0.24
covtype,cocoa_plus,ring,iid,10,2,1,0,43,0.5175,6.491279976923772,6.749513613541432,6.4921799751164695,18576,0.245
covtype,cocoa_plus,ring,iid,10,2,1,0,44,0.5175,6.634481852635306,6.904382681235236,6.651564269013048,19008,0.251
covtype,cocoa_plus,ring,iid,10,2,1,0,45,0.5175,6.549665333879124,6.81293899024738,6.565108151839808,19440,0.254
covtype,cocoa_plus,ring,iid,10,2,1,0,46,0.5175,6.930235088416963,7.225728929588228,6.982030026466275,19872,0.258
covtype,cocoa_plus,ring,iid,10,2,1,0,47,0.5175,6.902328945992967,7.195424713490984,6.954910892414757,20304,0.266
covtype,cocoa_plus,ring,iid,10,2,1,0,48,0.5175,6.887298663546429,7.179143567969189,6.942844142613344,20736,0.27
covtype,cocoa_plus,ring,iid,10,2,1,0,49,0.5175,7.009647269304455,7.312138010318936,7.080807274019658,21168,0.275
covtype,cocoa_plus,ring,iid,10,2,1,0,50,0.5175,7.095456915660683,7.405701714320961,7.178250246384248,21600,0.278
covtype,cocoa_plus,ring,iid,10,2,1,0,51,0.5175,7.3524343538962516,7.685749249526134,7.46174417867414,22032,0.286
covtype,cocoa_plus,ring,iid,10,2,1,0,52,0.5175,7.326691383310343,7.657814467140223,7.441027466358099,22464,0.29
covtype,cocoa_plus,ring,iid,10,2,1,0,53,0.5175,7.617865001345147,7.976228063488473,7.761706173400985,22896,0.294
covtype,cocoa_plus,ring,iid,10,2,1,0,54,0.5175,7.532182103740967,7.882773554670608,7.673208463732838,23328,0.299
covtype,cocoa_plus,ring,iid,10,2,1,0,55,0.5175,7.601175310408055,7.958676519190251,7.751899604814154,23760,0.302
covtype,cocoa_plus,ring,iid,10,2,1,0,56,0.5175,7.747973989481152,8.119990538591566,7.915784288282262,24192,0.309
covtype,cocoa_plus,ring,iid,10,2,1,0,57,0.5175,7.708172667844359,8.0763542243076,7.875522044198114,24624,0.313
covtype,cocoa_plus,ring,iid,10,2,1,0,58,0.5175,7.746525599190764,8.118572099635177,7.921700629207521,25056,0.317
covtype,cocoa_plus,ring,iid,10,2,1,0,59,0.5175,7.690003708413396,8.056794152072225,7.864362740827047,25488,0.32
covtype,cocoa_plus,ring,iid,10,2,1,0,60,0.5175,7.9182262381558575,8.307988192701831,8.118086043399634,25920,0.326
covtype,cocoa_plus,ring,iid,10,2,1,1,1,0.5521666666666667,0.9840925679567503,0.984252310354705,0.9430378403177071,432,0.007
covtype,cocoa_plus,ring,iid,10,2,1,1,2,0.6465,0.9750719997619676,0.9752680272586808,0.8957617956307873,864,0.01
covtype,cocoa_plus,ring,iid,10,2,1,1,3,0.5688333333333333,0.959985833404877,0.9604429810068689,0.8443112172428457,1296,0.019
covtype,cocoa_plus,ring,iid,10,2,1,1,4,0.6173333333333333,0.9297308851363304,0.9310707145467567,0.7811971715638767,1728,0.028
covtype,cocoa_plus,ring,iid,10,2,1,1,5,0.5185,0.9175028816107673,0.9192490540454177,0.7343365630573508,2160,0.033
covtype,cocoa_plus,ring,iid,10,2,1,1,6,0.6068333333333333,0.909219197647274,0.9113550378918652,0.6943728385163909,2592,0.038
covtype,cocoa_plus,ring,iid,10,2,1,1,7,0.6056666666666667,0.8932177613133255,0.8960999832598183,0.6463107641637809,3024,0.044
covtype,cocoa_plus,ring,iid,10,2,1,1,8,0.599,0.8869355575558707,0.8913092644331023,0.61039453561612,3456,0.055
covtype,cocoa_plus,ring,iid,10,2,1,1,9,0.6136666666666667,0.8801081868572516,0.8848890069624764,0.576172659733547,3888,0.058
covtype,cocoa_plus,ring,iid,10,2,1,1,10,0.48383333333333334,0.9848469289284778,0.9915883208890093,0.6620127990602898,4320,0.066
covtype,cocoa_plus,ring,iid,10,2,1,1,11,0.49166666666666664,0.9623191067330538,0.9691540868334471,0.617457930637005,4752,0.074
covtype,cocoa_plus,ring,iid,10,2,1,1,12,0.4861666666666667,0.9677011566425663,0.97456293042777,0.6047495175278275,5184,0.077
covtype,cocoa_plus,ring,iid,10,2,1,1,13,0.4826666666666667,1.0299566343983346,1.0373151500334674,0.6537781311364883,5616,0.082
covtype,cocoa_plus,ring,iid,10,2,1,1,14,0.4825,1.10876662201587,1.1167351194784407,0.7261764166233449,6048,0.088
covtype,cocoa_plus,ring,iid,10,2,1,1,15,0.4825,1.4524841601682386,1.4639160590899667,1.0747968444137708,6480,0.096
covtype,cocoa_plus,ring,iid,10,2,1,1,16,0.4825,1.7216093157717887,1.7369095580020848,1.343674153905682,6912,0.1
covtype,cocoa_plus,ring,iid,10,2,1,1,17,0.4825,1.7137169941989687,1.7291370138255862,1.3367427068829483,7344,0.106
covtype,cocoa_plus,ring,iid,10,2,1,1,18,0.4825,2.3606307985701567,2.389050144187451,1.9987812110874588,7776,0.114
covtype,cocoa_plus,ring,iid,10,2,1,1,19,0.4825,2.0967277597500984,2.1195378724350635,1.7323502368346813,8208,0.118
covtype,cocoa_plus,ring,iid,10,2,1,1,20,0.4825,2.1376145348617417,2.1615731266060454,1.778036379453453,8640,0.123
covtype,cocoa_plus,ring,iid,10,2,1,1,21,0.4825,2.3837536008535305,2.4134424471734444,2.0326921369123667,9072,0.131
covtype,cocoa_plus,ring,iid,10,2,1,1,22,0.4825,2.6274819644677985,2.663668752698933,2.2840483287170557,9504,0.133
covtype,cocoa_plus,ring,iid,10,2,1,1,23,0.4825,2.835754791415532,2.8781574425764873,2.504304233724723,9936,0.142
covtype,cocoa_plus,ring,iid,10,2,1,1,24,0.4825,3.0595244223565845,3.1092398146481304,2.73970426700269,10368,0.147
covtype,cocoa_plus,ring,iid,10,2,1,1,25,0.4825,3.448110932930562,3.5115101062499017,3.1478710140103754,10800,0.153
covtype,cocoa_plus,ring,iid,10,2,1,1,26,0.4825,3.309450023231495,3.367918108013857,3.0106802361427283,11232,0.156
covtype,cocoa_plus,ring,iid,10,2,1,1,27,0.4825,3.8017961654762757,3.879412894318534,3.527648651787684,11664,0.163
covtype,cocoa_plus,ring,iid,10,2,1,1,28,0.4825,3.9492157983047598,4.033152593897068,3.6893717157970976,12096,0.169
covtype,cocoa_plus,ring,iid,10,2,1,1,29,0.4825,3.785920093459056,3.8633436809005004,3.5211383138607233,12528,0.174
