tag,method,topology,scheme,nodes,gossip_k,components,node,round,test_acc,hinge_loss,primal,duality_gap,comm_bytes,wall_time
covtype,cocoa_plus,ring,label_skew,10,2,1,0,1,0.5175,0.616379019073554,0.6166231760549067,0.604205883739275,432,0.006
covtype,cocoa_plus,ring,label_skew,10,2,1,0,2,0.4825,2.21143274764092,2.2141675822020446,2.1679291674922183,864,0.013
covtype,cocoa_plus,ring,label_skew,10,2,1,0,3,0.4825,3.3062683828212887,3.315973882567194,3.240288941153866,1296,0.016
covtype,cocoa_plus,ring,label_skew,10,2,1,0,4,0.4825,8.098658210020234,8.18528675882118,8.086122040294498,1728,0.024
covtype,cocoa_plus,ring,label_skew,10,2,1,0,5,0.4825,9.07647586094568,9.18912241833637,9.070929728992558,2160,0.033
covtype,cocoa_plus,ring,label_skew,10,2,1,0,6,0.4825,8.09089452211004,8.178839238325173,8.046647587669693,2592,0.039
covtype,cocoa_plus,ring,label_skew,10,2,1,0,7,0.4825,10.056670765725965,10.199716220943326,10.056269877507745,3024,0.048
covtype,cocoa_plus,ring,label_skew,10,2,1,0,8,0.4825,11.168063255074966,11.34845452201699,11.198221184937736,3456,0.051
covtype,cocoa_plus,ring,label_skew,10,2,1,0,9,0.4825,12.993219903135374,13.243746539974287,13.089876350152466,3888,0.061
covtype,cocoa_plus,ring,label_skew,10,2,1,0,10,0.4825,12.131464263347535,12.349304607061296,12.194583334693409,4320,0.065
covtype,cocoa_plus,ring,label_skew,10,2,1,0,11,0.4825,13.702339460334661,13.985568870983007,13.832126413768837,4752,0.075
covtype,cocoa_plus,ring,label_skew,10,2,1,0,12,0.4825,14.690822667571476,15.019875205251148,14.869068479078118,5184,0.079
covtype,cocoa_plus,ring,label_skew,10,2,1,0,13,0.4825,15.515820572557569,15.886547783794523,15.741092186445092,5616,0.087
covtype,cocoa_plus,ring,label_skew,10,2,1,0,14,0.4825,15.63242050496303,16.009965593492616,15.872213158631567,6048,0.09
covtype,cocoa_plus,ring,label_skew,10,2,1,0,15,0.4825,17.319884400697752,17.788114558788344,17.659517557013437,6480,0.097
covtype,cocoa_plus,ring,label_skew,10,2,1,0,16,0.4825,17.33423650727829,17.805009429317323,17.685095307579804,6912,0.105
covtype,cocoa_plus,ring,label_skew,10,2,1,0,17,0.4825,18.558042823595947,19.100974618716187,18.992132788730174,7344,0.112
covtype,cocoa_plus,ring,label_skew,10,2,1,0,18,0.4825,17.948520859197473,18.45687450976739,18.35936927857517,7776,0.114
covtype,cocoa_plus,ring,label_skew,10,2,1,0,19,0.4825,17.835285008649205,18.338450194100712,18.25233490252707,8208,0.122
covtype,cocoa_plus,ring,label_skew,10,2,1,0,20,0.4825,17.87631479925734,18.383070032068314,18.310530981687602,8640,0.126
covtype,cocoa_plus,ring,label_skew,10,2,1,0,21,0.4825,19.45577396186395,20.058461737952666,20.0026931625681,9072,0.134
covtype,cocoa_plus,ring,label_skew,10,2,1,0,22,0.4825,19.976120999355818,20.614005377789045,20.571192180609675,9504,0.138
covtype,cocoa_plus,ring,label_skew,10,2,1,0,23,0.4825,20.0255575529345,20.667679404378745,20.638007108064315,9936,0.144
covtype,cocoa_plus,ring,label_skew,10,2,1,0,24,0.4825,21.286494723069698,22.0140622765899,21.998392509078506,10368,0.151
covtype,cocoa_plus,ring,label_skew,10,2,1,0,25,0.4825,22.782862198754025,23.618942511482906,23.619953698754834,10800,0.158
covtype,cocoa_plus,ring,label_skew,10,2,1,0,26,0.4825,22.283296421533155,23.083989933496046,23.101234543001766,11232,0.159
covtype,cocoa_plus,ring,label_skew,10,2,1,0,27,0.4825,23.38531748845289,24.27003167464445,24.300053884345083,11664,0.166
covtype,cocoa_plus,ring,label_skew,10,2,1,0,28,0.4825,24.755465157696978,25.75032747573592,25.792862053267157,12096,0.174
covtype,cocoa_plus,ring,label_skew,10,2,1,0,29,0.4825,25.2530181163487,26.289713835113957,26.34159963114135,12528,0.178
covtype,cocoa_plus,ring,label_skew,10,2,1,0,30,0.4825,25.339860290027985,26.385315149761567,26.450269832107754,12960,0.183
covtype,cocoa_plus,ring,label_skew,10,2,1,0,31,0.4825,26.024216239157735,27.1272131845389,27.20508624498802,13392,0.189
covtype,cocoa_plus,ring,label_skew,10,2,1,0,32,0.4825,26.14633687039072,27.26077802677805,27.352999519059388,13824,0.196
covtype,cocoa_plus,ring,label_skew,10,2,1,0,33,0.4825,26.467040187402528,27.610084301515382,27.716146473619872,14256,0.199
covtype,cocoa_plus,ring,label_skew,10,2,1,0,34,0.4825,26.150177120845242,27.267254709880277,27.386209899179295,14688,0.202
covtype,cocoa_plus,ring,label_skew,10,2,1,0,35,0.4825,27.362461973911252,28.588782479053464,28.723438588740063,15120,0.209
covtype,cocoa_plus,ring,label_skew,10,2,1,0,36,0.4825,27.585357253942885,28.831573193464674,28.978616372241667,15552,0.214
covtype,cocoa_plus,ring,label_skew,10,2,1,0,37,0.4825,28.173462430257004,29.474718610066574,29.636992399662482,15984,0.218
covtype,cocoa_plus,ring,label_skew,10,2,1,0,38,0.4825,28.239467409146272,29.548575308812104,29.723439825573717,16416,0.223
covtype,cocoa_plus,ring,label_skew,10,2,1,0,39,0.4825,28.846084461779284,30.213077889055896,30.402394225735335,16848,0.231
covtype,cocoa_plus,ring,label_skew,10,2,1,0,40,0.4825,28.64119308819989,29.989148672725953,30.188364451388416,17280,0.232
covtype,cocoa_plus,ring,label_skew,10,2,1,0,41,0.4825,29.363773632595457,30.782236385891355,30.996098179292414,17712,0.239
covtype,cocoa_plus,ring,label_skew,10,2,1,0,42,0.4825,29.763429013575802,31.222015110339413,31.447317382898525,18144,0.244
covtype,cocoa_plus,ring,label_skew,10,2,1,0,43,0.4825,29.980332882657727,31.461356671109876,31.698183289445257,18576,0.25
covtype,cocoa_plus,ring,label_skew,10,2,1,0,44,0.4825,29.735626233325526,31.19313718150668,31.442625475266713,19008,0.254
covtype,cocoa_plus,ring,label_skew,10,2,1,0,45,0.4825,30.36915992501189,31.89216219189574,32.152669452908704,19440,0.259
covtype,cocoa_plus,ring,label_skew,10,2,1,0,46,0.4825,30.898291402902878,32.476271205988205,32.74799070085896,19872,0.265
covtype,cocoa_plus,ring,label_skew,10,2,1,0,47,0.4825,30.995217968681825,32.58415680096485,32.86690738714414,20304,0.27
covtype,cocoa_plus,ring,label_skew,10,2,1,0,48,0.4825,31.426534782586348,33.06296492689634,33.35602491214674,20736,0.273
covtype,cocoa_plus,ring,label_skew,10,2,1,0,49,0.4825,31.22102574626283,32.837382238305366,33.14176758454054,21168,0.277
covtype,cocoa_plus,ring,label_skew,10,2,1,0,50,0.4825,31.78729496061082,33.46224567949052,33.771296103989926,21600,0.283
covtype,cocoa_plus,ring,label_skew,10,2,1,0,51,0.4825,31.776275035979566,33.450814482810316,33.769047074399936,22032,0.289
covtype,cocoa_plus,ring,label_skew,10,2,1,0,52,0.4825,32.117133728087595,33.827893248618295,34.15558615921661,22464,0.293
covtype,cocoa_plus,ring,label_skew,10,2,1,0,53,0.4825,32.125406128909646,33.83688591196781,34.171810127543544,22896,0.297
covtype,cocoa_plus,ring,label_skew,10,2,1,0,54,0.4825,32.33059839176135,34.06480637954669,34.40827655089253,23328,0.303
covtype,cocoa_plus,ring,label_skew,10,2,1,0,55,0.4825,32.3430598351438,34.07844036550116,34.42802262560216,23760,0.308
