tag,method,topology,scheme,nodes,gossip_k,components,node,round,test_acc,hinge_loss,primal,duality_gap,comm_bytes,wall_time
covtype,cocoa,ring,dirichlet_0.1,10,2,1,0,1,0.5175,nan,nan,nan,432,0.005
covtype,cocoa,ring,dirichlet_0.1,10,2,1,0,2,0.5175,nan,nan,nan,864,0.008
covtype,cocoa,ring,dirichlet_0.1,10,2,1,0,3,0.5175,nan,nan,nan,1296,0.012
covtype,cocoa,ring,dirichlet_0.1,10,2,1,0,4,0.5175,nan,nan,nan,1728,0.018
covtype,cocoa,ring,dirichlet_0.1,10,2,1,0,5,0.5175,nan,nan,nan,2160,0.026
covtype,cocoa,ring,dirichlet_0.1,10,2,1,0,6,0.5175,nan,nan,nan,2592,0.031
covtype,cocoa,ring,dirichlet_0.1,10,2,1,0,7,0.5175,nan,nan,nan,3024,0.032
covtype,cocoa,ring,dirichlet_0.1,10,2,1,0,8,0.5175,nan,nan,nan,3456,0.04
covtype,cocoa,ring,dirichlet_0.1,10,2,1,0,9,0.5175,nan,nan,nan,3888,0.042
covtype,cocoa,ring,dirichlet_0.1,10,2,1,0,10,0.5175,nan,nan,nan,4320,0.048
covtype,cocoa,ring,dirichlet_0.1,10,2,1,0,11,0.5175,nan,nan,nan,4752,0.05
covtype,cocoa,ring,dirichlet_0.1,10,2,1,0,12,0.5175,nan,nan,nan,5184,0.058
covtype,cocoa,ring,dirichlet_0.1,10,2,1,0,13,0.5175,nan,nan,nan,5616,0.063
covtype,cocoa,ring,dirichlet_0.1,10,2,1,0,14,0.5175,nan,nan,nan,6048,0.065
covtype,cocoa,ring,dirichlet_0.1,10,2,1,0,15,0.5175,nan,nan,nan,6480,0.071
covtype,cocoa,ring,dirichlet_0.1,10,2,1,0,16,0.5175,nan,nan,nan,6912,0.075
covtype,cocoa,ring,dirichlet_0.1,10,2,1,0,17,0.5175,nan,nan,nan,7344,0.078
covtype,cocoa,ring,dirichlet_0.1,10,2,1,0,18,0.5175,nan,nan,nan,7776,0.085
covtype,cocoa,ring,dirichlet_0.1,10,2,1,0,19,0.5175,nan,nan,nan,8208,0.088
covtype,cocoa,ring,dirichlet_0.1,10,2,1,0,20,0.5175,nan,nan,nan,8640,0.091
covtype,cocoa,ring,dirichlet_0.1,10,2,1,0,21,0.5175,nan,nan,nan,9072,0.098
covtype,cocoa,ring,dirichlet_0.1,10,2,1,0,22,0.5175,nan,nan,nan,9504,0.103
covtype,cocoa,ring,dirichlet_0.1,10,2,1,0,23,0.5175,nan,nan,nan,9936,0.105
covtype,cocoa,ring,dirichlet_0.1,10,2,1,0,24,0.5175,nan,nan,nan,10368,0.113
covtype,cocoa,ring,dirichlet_0.1,10,2,1,0,25,0.5175,nan,nan,nan,10800,0.115
