tag,method,topology,scheme,nodes,gossip_k,components,node,round,test_acc,hinge_loss,primal,duality_gap,comm_bytes,wall_time
covtype,cocoa,ring,iid,10,2,1,0,1,0.49366666666666664,0.9927808044218521,0.9928055761162226,0.9790786852394772,432,0.008
covtype,cocoa,ring,iid,10,2,1,0,2,0.6035,0.9869726466648232,0.9870271947336975,0.9598718481797224,864,0.013
covtype,cocoa,ring,iid,10,2,1,0,3,0.5175,0.9805953694797341,0.9807320320599234,0.9401998501139155,1296,0.018
covtype,cocoa,ring,iid,10,2,1,0,4,0.625,0.9727287121679554,0.972940619893271,0.9191009109183337,1728,0.027
covtype,cocoa,ring,iid,10,2,1,0,5,0.5175,0.9609219668301973,0.961485754243027,0.8948754819372505,2160,0.041
covtype,cocoa,ring,iid,10,2,1,0,6,0.5175,0.9563330187291402,0.9569740946815845,0.8771787918888101,2592,0.048
covtype,cocoa,ring,iid,10,2,1,0,7,0.5175,0.947211423705678,0.9482662340657521,0.8559486787415326,3024,0.055
covtype,cocoa,ring,iid,10,2,1,0,8,0.5175,0.9418474472382671,0.943097468397916,0.8384759480631495,3456,0.064
covtype,cocoa,ring,iid,10,2,1,0,9,0.5175,0.934149571284594,0.9355715667455811,0.818974370991759,3888,0.071
covtype,cocoa,ring,iid,10,2,1,0,10,0.5175,0.9327472371677197,0.9342191368503756,0.8055092345956313,4320,0.077
covtype,cocoa,ring,iid,10,2,1,0,11,0.5175,0.9260017650682784,0.9278899066863886,0.7867474078787148,4752,0.082
covtype,cocoa,ring,iid,10,2,1,0,12,0.5175,0.9164962793552991,0.9190445253012445,0.7665484263125684,5184,0.097
covtype,cocoa,ring,iid,10,2,1,0,13,0.5175,0.9150976395906487,0.9176896134597787,0.7550408997216626,5616,0.102
covtype,cocoa,ring,iid,10,2,1,0,14,0.5175,0.9143895117336848,0.9170070594878831,0.7427584281379159,6048,0.107
covtype,cocoa,ring,iid,10,2,1,0,15,0.5175,0.9032464986338675,0.9062277043375582,0.7211512590377173,6480,0.12
covtype,cocoa,ring,iid,10,2,1,0,16,0.5188333333333334,0.89859597648299,0.9017518009784695,0.7058278385336479,6912,0.126
covtype,cocoa,ring,iid,10,2,1,0,17,0.5235,0.8928673586563951,0.8964653627702779,0.6904983746178553,7344,0.136
covtype,cocoa,ring,iid,10,2,1,0,18,0.523,0.892172537334953,0.895879161135052,0.6799140942852919,7776,0.141
covtype,cocoa,ring,iid,10,2,1,0,19,0.522,0.8900220140967777,0.8940392647091558,0.6686559875236304,8208,0.15
covtype,cocoa,ring,iid,10,2,1,0,20,0.5355,0.8863481475813235,0.8904044881304647,0.6557980313043135,8640,0.159
covtype,cocoa,ring,iid,10,2,1,0,21,0.564,0.8799620746190026,0.8843771471197083,0.6401190641382017,9072,0.17
covtype,cocoa,ring,iid,10,2,1,0,22,0.5855,0.875576466400704,0.8802924934630902,0.6258303111572094,9504,0.177
covtype,cocoa,ring,iid,10,2,1,0,23,0.5911666666666666,0.874176158153783,0.8789198226792323,0.6149736718823147,9936,0.181
covtype,cocoa,ring,iid,10,2,1,0,24,0.5968333333333333,0.8698153951187921,0.8750467737187935,0.6024468326627608,10368,0.195
covtype,cocoa,ring,iid,10,2,1,0,25,0.6025,0.866410332772025,0.8719479600368822,0.589805393001807,10800,0.203
covtype,cocoa,ring,iid,10,2,1,0,26,0.6043333333333333,0.8663561096008633,0.8719618356380378,0.5817072691804244,11232,0.209
covtype,cocoa,ring,iid,10,2,1,0,27,0.5505,0.8744247044421621,0.8804823626749106,0.5819041352851182,11664,0.217
covtype,cocoa,ring,iid,10,2,1,0,28,0.574,0.8698977344545966,0.8758802708114928,0.5697640945144402,12096,0.221
covtype,cocoa,ring,iid,10,2,1,0,29,0.5743333333333334,0.8712936394115288,0.878145152815928,0.5640620041151321,12528,0.234
covtype,cocoa,ring,iid,10,2,1,0,30,0.5748333333333333,0.8709264160165768,0.8777963114002925,0.5560768662248878,12960,0.238
covtype,cocoa,ring,iid,10,2,1,0,31,0.604,0.8583434420811678,0.865407387370869,0.5359340542234543,13392,0.245
covtype,cocoa,ring,iid,10,2,1,0,32,0.5496666666666666,0.8749788841822824,0.8826900679276964,0.5466699096819712,13824,0.258
covtype,cocoa,ring,iid,10,2,1,0,33,0.5503333333333333,0.8746573190393038,0.8823306598888822,0.5394120291717933,14256,0.263
covtype,cocoa,ring,iid,10,2,1,0,34,0.5178333333333334,0.8992174302122663,0.9079526846191953,0.559899439938981,14688,0.275
covtype,cocoa,ring,iid,10,2,1,0,35,0.5261666666666667,0.8845923928213595,0.8932151006204365,0.5395336666571247,15120,0.278
covtype,cocoa,ring,iid,10,2,1,0,36,0.5271666666666667,0.8780314275971924,0.886666685899285,0.526442936804635,15552,0.287
covtype,cocoa,ring,iid,10,2,1,0,37,0.5175,0.8936643266949663,0.9026742746952782,0.5374478679105708,15984,0.3
covtype,cocoa,ring,iid,10,2,1,0,38,0.5175,0.9437322586993001,0.9536579007501028,0.5839246982960696,16416,0.308
covtype,cocoa,ring,iid,10,2,1,0,39,0.5175,0.9093323907566894,0.9189475605947602,0.5440199343551946,16848,0.31
covtype,cocoa,ring,iid,10,2,1,0,40,0.5175,0.9571003408816416,0.9670309142854769,0.5890952633467106,17280,0.321
covtype,cocoa,ring,iid,10,2,1,0,41,0.5175,0.9930855681457338,1.00340252307139,0.6226454331660779,17712,0.331
covtype,cocoa,ring,iid,10,2,1,0,42,0.5175,0.9751727067047856,0.9852795207986734,0.6007580794396972,18144,0.336
covtype,cocoa,ring,iid,10,2,1,0,43,0.5175,0.9661265797520125,0.9761485401148046,0.587627542248973,18576,0.346
covtype,cocoa,ring,iid,10,2,1,0,44,0.5175,1.0386816524283837,1.0494689457433175,0.6588877520154479,19008,0.355
covtype,cocoa,ring,iid,10,2,1,0,45,0.5175,0.9979187924373188,1.0082971299025454,0.614357657599135,19440,0.359
covtype,cocoa,ring,iid,10,2,1,0,46,0.5175,1.3209282070225037,1.3345622312104262,0.9406776965471466,19872,0.366
covtype,cocoa,ring,iid,10,2,1,0,47,0.5175,1.3092053316415067,1.3227541277066583,0.928581377318827,20304,0.377
covtype,cocoa,ring,iid,10,2,1,0,48,0.5175,1.288825180851636,1.302116710231421,0.9076381590733871,20736,0.385
covtype,cocoa,ring,iid,10,2,1,0,49,0.5175,1.4675714864961866,1.4830357243873242,1.0892462169428228,21168,0.391
covtype,cocoa,ring,iid,10,2,1,0,50,0.5175,1.5672830801534148,1.5842355351972075,1.1906784203756584,21600,0.396
covtype,cocoa,ring,iid,10,2,1,0,51,0.5175,1.830806407515702,1.8522269813314054,1.4593326849046504,22032,0.408
covtype,cocoa,ring,iid,10,2,1,0,52,0.5175,1.9026285877159808,1.9253739287785265,1.532129067567952,22464,0.415
covtype,cocoa,ring,iid,10,2,1,0,53,0.5175,2.2085391049772407,2.237958180674901,1.845276804383149,22896,0.422
covtype,cocoa,ring,iid,10,2,1,0,54,0.5175,2.120671939370546,2.1481278522734972,1.7564218355934162,23328,0.429
covtype,cocoa,ring,iid,10,2,1,0,55,0.5175,2.1801794714964684,2.209066555250412,1.8183298194933346,23760,0.434
covtype,cocoa,ring,iid,10,2,1,0,56,0.5175,2.447759625261887,2.4834741733430468,2.093400684651835,24192,0.446
covtype,cocoa,ring,iid,10,2,1,0,57,0.5175,2.378374227800628,2.412275263586303,2.023068793074943,24624,0.451
covtype,cocoa,ring,iid,10,2,1,0,58,0.5175,2.5466990260708373,2.58522147818685,2.1963884548098553,25056,0.458
covtype,cocoa,ring,iid,10,2,1,0,59,0.5175,2.467250243222205,2.5036325309629124,2.114733922998094,25488,0.462
covtype,cocoa,ring,iid,10,2,1,0,60,0.5175,2.799249383215509,2.845621871356569,2.4568405154515687,25920,0.472
covtype,cocoa,ring,iid,10,2,1,1,1,0.5061666666666667,0.9947994058997892,0.9948209253375125,0.9810748731111795,432,0.008
covtype,cocoa,ring,iid,10,2,1,1,2,0.5873333333333334,0.9919470397227776,0.991971697271925,0.965081394270818,864,0.011
covtype,cocoa,ring,iid,10,2,1,1,3,0.6336666666666667,0.9864715140067211,0.9865269976182254,0.9465240918930343,1296,0.022
covtype,cocoa,ring,iid,10,2,1,1,4,0.6245,0.9751427853037595,0.9753189840115366,0.9223755786987271,1728,0.033
covtype,cocoa,ring,iid,10,2,1,1,5,0.575,0.9708994655615606,0.9711179189711765,0.9051251506379339,2160,0.039
covtype,cocoa,ring,iid,10,2,1,1,6,0.6085,0.965414926841227,0.965720775182895,0.8872744221538115,2592,0.045
covtype,cocoa,ring,iid,10,2,1,1,7,0.584,0.9584271906237366,0.9588603997139974,0.8676129695530919,3024,0.051
covtype,cocoa,ring,iid,10,2,1,1,8,0.6171666666666666,0.944660746002856,0.9454554707969607,0.8416147593398285,3456,0.065
covtype,cocoa,ring,iid,10,2,1,1,9,0.6326666666666667,0.9421457133827397,0.9430383789109663,0.8266764569048921,3888,0.068
covtype,cocoa,ring,iid,10,2,1,1,10,0.596,0.9334730094250745,0.9348019371226883,0.8063544313859028,4320,0.079
covtype,cocoa,ring,iid,10,2,1,1,11,0.6218333333333333,0.928544293191783,0.9300061768493949,0.7897153800537251,4752,0.088
covtype,cocoa,ring,iid,10,2,1,1,12,0.631,0.9230932470542659,0.9247223620201741,0.7730495961813605,5184,0.093
covtype,cocoa,ring,iid,10,2,1,1,13,0.6318333333333334,0.9137419299742324,0.915664336463262,0.7524078335827109,5616,0.099
covtype,cocoa,ring,iid,10,2,1,1,14,0.6323333333333333,0.9098065272218734,0.9119405737391859,0.737995311556425,6048,0.108
covtype,cocoa,ring,iid,10,2,1,1,15,0.6336666666666667,0.905982061000466,0.9084666110015657,0.7235416349275294,6480,0.119
covtype,cocoa,ring,iid,10,2,1,1,16,0.6383333333333333,0.9023261060396124,0.9051819329073567,0.7089828791484953,6912,0.124
covtype,cocoa,ring,iid,10,2,1,1,17,0.624,0.8993840780796256,0.9024881478154805,0.6953799886265545,7344,0.132
covtype,cocoa,ring,iid,10,2,1,1,18,0.5986666666666667,0.8901898703683505,0.8937415283784608,0.6759364614842023,7776,0.144
covtype,cocoa,ring,iid,10,2,1,1,19,0.6078333333333333,0.8878856023263613,0.8915313295044431,0.6634189215289722,8208,0.149
covtype,cocoa,ring,iid,10,2,1,1,20,0.6095,0.8835200081778318,0.8874396794674546,0.6490293932313382,8640,0.157
covtype,cocoa,ring,iid,10,2,1,1,21,0.6085,0.8802676591306648,0.8846092856704912,0.6358855562751067,9072,0.168
covtype,cocoa,ring,iid,10,2,1,1,22,0.6053333333333333,0.8756600037728423,0.8803463984792107,0.6212977703340412,9504,0.172
covtype,cocoa,ring,iid,10,2,1,1,23,0.6191666666666666,0.8734362584825017,0.8784725026513793,0.6096268126382488,9936,0.185
covtype,cocoa,ring,iid,10,2,1,1,24,0.6155,0.8670151872962113,0.8724549865751858,0.5938509870152309,10368,0.192
covtype,cocoa,ring,iid,10,2,1,1,25,0.6191666666666666,0.8635271422749626,0.8696663587538767,0.5827510052119189,10800,0.201
covtype,cocoa,ring,iid,10,2,1,1,26,0.6201666666666666,0.8625901867967058,0.8687989712092985,0.5727176374397951,11232,0.206
covtype,cocoa,ring,iid,10,2,1,1,27,0.6201666666666666,0.858518828498472,0.8648978558837367,0.559860381357992,11664,0.216
covtype,cocoa,ring,iid,10,2,1,1,28,0.6376666666666667,0.8548644444355676,0.8613383116582344,0.54768992222335,12096,0.225
covtype,cocoa,ring,iid,10,2,1,1,29,0.6268333333333334,0.8502461990451174,0.8568986874183374,0.5339881473156985,12528,0.234
covtype,cocoa,ring,iid,10,2,1,1,30,0.6266666666666667,0.8507259239694899,0.8575444937004572,0.525612581182356,12960,0.237
covtype,cocoa,ring,iid,10,2,1,1,31,0.61,0.864431632687154,0.8718158504970397,0.5327712508991185,13392,0.249
covtype,cocoa,ring,iid,10,2,1,1,32,0.6185,0.8566218685928334,0.8640938612270702,0.5168944793431429,13824,0.255
covtype,cocoa,ring,iid,10,2,1,1,33,0.6195,0.8535549353738935,0.8610123882000954,0.5057899996675579,14256,0.265
covtype,cocoa,ring,iid,10,2,1,1,34,0.6356666666666667,0.8425038135157517,0.8503486434476069,0.48757256258626974,14688,0.274
covtype,cocoa,ring,iid,10,2,1,1,35,0.6205,0.8456918624400843,0.853876966907059,0.484224565240359,15120,0.281
covtype,cocoa,ring,iid,10,2,1,1,36,0.6363333333333333,0.8382243312818922,0.8466715900151052,0.4688688924151637,15552,0.292
covtype,cocoa,ring,iid,10,2,1,1,37,0.602,0.8542189639795875,0.8630105159048295,0.47878257328913476,15984,0.301
covtype,cocoa,ring,iid,10,2,1,1,38,0.6196666666666667,0.8432024684897209,0.8521309369406248,0.46054932723407516,16416,0.307
covtype,cocoa,ring,iid,10,2,1,1,39,0.5595,0.9078635603962539,0.9171467481954096,0.5204030523282146,16848,0.314
covtype,cocoa,ring,iid,10,2,1,1,40,0.553,0.9213532817090233,0.9306653749669274,0.5288585712016635,17280,0.321
covtype,cocoa,ring,iid,10,2,1,1,41,0.554,0.914376605034783,0.9237012925678636,0.5167656883393001,17712,0.33
covtype,cocoa,ring,iid,10,2,1,1,42,0.5476666666666666,0.9452503685627242,0.9548585581380983,0.5436072944649564,18144,0.337
covtype,cocoa,ring,iid,10,2,1,1,43,0.5515,0.9185194151987476,0.9278459616516871,0.5114847803617733,18576,0.345
covtype,cocoa,ring,iid,10,2,1,1,44,0.511,0.9695149738953845,0.9794307849050896,0.5588790439998848,19008,0.354
covtype,cocoa,ring,iid,10,2,1,1,45,0.4965,0.9969717610258441,1.0071173796061257,0.5829389519127766,19440,0.361
covtype,cocoa,ring,iid,10,2,1,1,46,0.5125,0.9630931113272386,0.9728829153239208,0.5449837916937357,19872,0.364
covtype,cocoa,ring,iid,10,2,1,1,47,0.49083333333333334,1.0092696652156954,1.0195664886725788,0.5879068877619631,20304,0.373
covtype,cocoa,ring,iid,10,2,1,1,48,0.4835,1.0604533124336535,1.07119208756774,0.6381258701938732,20736,0.38
covtype,cocoa,ring,iid,10,2,1,1,49,0.4826666666666667,1.1890967559477568,1.2009906709602356,0.7670865910229284,21168,0.393
covtype,cocoa,ring,iid,10,2,1,1,50,0.4826666666666667,1.190072132852547,1.2019481171114967,0.7672814350791741,21600,0.397
covtype,cocoa,ring,iid,10,2,1,1,51,0.4826666666666667,1.18017850137114,1.191937571119363,0.7562852040009345,22032,0.407
covtype,cocoa,ring,iid,10,2,1,1,52,0.4826666666666667,1.1958430626856056,1.2077971718700495,0.7724765065568566,22464,0.412
covtype,cocoa,ring,iid,10,2,1,1,53,0.4825,1.3505676820260215,1.3641156277936626,0.9280741881411254,22896,0.421
covtype,cocoa,ring,iid,10,2,1,1,54,0.4825,1.2582054231757338,1.2707426604324992,0.834989566630546,23328,0.425
covtype,cocoa,ring,iid,10,2,1,1,55,0.4825,1.354344645526097,1.368033201444731,0.9322782841627039,23760,0.433
covtype,cocoa,ring,iid,10,2,1,1,56,0.4825,1.3440825014441022,1.3576662491141567,0.9217375390953532,24192,0.442
covtype,cocoa,ring,iid,10,2,1,1,57,0.4825,1.3359198559065355,1.3494444953267468,0.9138317765960418,24624,0.45
covtype,cocoa,ring,iid,10,2,1,1,58,0.4825,1.5136618010342933,1.529406695777259,1.0947357894336602,25056,0.456
covtype,cocoa,ring,iid,10,2,1,1,59,0.4825,1.8559637827040547,1.8771831312389964,1.4432016632310865,25488,0.467
covtype,cocoa,ring,iid,10,2,1,1,60,0.4825,1.7695833776303471,1.789458183214897,1.3560704622950128,25920,0.471
covtype,cocoa,ring,iid,10,2,1,2,1,0.5175,0.9963601217583407,0.9963662855803765,0.982761338291556,432,0.003
covtype,cocoa,ring,iid,10,2,1,2,2,0.5175,0.9882850001177711,0.9883325455030852,0.9610854962389669,864,0.014
covtype,cocoa,ring,iid,10,2,1,2,3,0.5175,0.9846890066366953,0.9847692790610794,0.9440721691553584,1296,0.02
covtype,cocoa,ring,iid,10,2,1,2,4,0.5178333333333334,0.9744025243910613,0.9745975804746735,0.9205273887013955,1728,0.028
covtype,cocoa,ring,iid,10,2,1,2,5,0.5175,0.962223224674613,0.9626753205210257,0.8957331464972733,2160,0.04
covtype,cocoa,ring,iid,10,2,1,2,6,0.5175,0.9607476679504452,0.9612291626819478,0.8816292218891766,2592,0.043
covtype,cocoa,ring,iid,10,2,1,2,7,0.5175,0.9526021955504395,0.9532675627821438,0.8610669582207552,3024,0.052
covtype,cocoa,ring,iid,10,2,1,2,8,0.5175,0.9472411878761012,0.9480499035217907,0.8435699597719497,3456,0.061
covtype,cocoa,ring,iid,10,2,1,2,9,0.6183333333333333,0.9344710277378067,0.9357713194781422,0.8190202343785501,3888,0.072
covtype,cocoa,ring,iid,10,2,1,2,10,0.6078333333333333,0.9316317791135657,0.9330175262193802,0.8042078049756511,4320,0.077
covtype,cocoa,ring,iid,10,2,1,2,11,0.5701666666666667,0.9179877851180908,0.919926058549824,0.7789877846833473,4752,0.089
covtype,cocoa,ring,iid,10,2,1,2,12,0.5545,0.910832098416523,0.913095498188869,0.7608332928546806,5184,0.096
covtype,cocoa,ring,iid,10,2,1,2,13,0.5261666666666667,0.9022062353306766,0.9049375818559284,0.7406319861164208,5616,0.099
covtype,cocoa,ring,iid,10,2,1,2,14,0.543,0.9003294821400106,0.9031613558567971,0.7278179166613912,6048,0.111
covtype,cocoa,ring,iid,10,2,1,2,15,0.5801666666666667,0.8980672489340643,0.9010435989546816,0.7148769921806007,6480,0.116
covtype,cocoa,ring,iid,10,2,1,2,16,0.5908333333333333,0.8927806071082794,0.8960771127680981,0.6986654761153315,6912,0.125
covtype,cocoa,ring,iid,10,2,1,2,17,0.6078333333333333,0.8893336477752226,0.8928919097937095,0.6853416310345939,7344,0.137
covtype,cocoa,ring,iid,10,2,1,2,18,0.6076666666666667,0.8776697407072777,0.8820735372199112,0.6645119349799402,7776,0.146
covtype,cocoa,ring,iid,10,2,1,2,19,0.608,0.8761696848081552,0.8806700673880182,0.6530219118913954,8208,0.152
covtype,cocoa,ring,iid,10,2,1,2,20,0.6135,0.8744750869758469,0.8791087315715891,0.6410470596958386,8640,0.156
covtype,cocoa,ring,iid,10,2,1,2,21,0.6253333333333333,0.8669316309480924,0.8722417607880194,0.6242879697241882,9072,0.165
covtype,cocoa,ring,iid,10,2,1,2,22,0.6291666666666667,0.8620970357721346,0.8678697563288408,0.6097961630307174,9504,0.177
covtype,cocoa,ring,iid,10,2,1,2,23,0.6328333333333334,0.8590513883294102,0.8651530487598416,0.5979421755752243,9936,0.186
covtype,cocoa,ring,iid,10,2,1,2,24,0.6338333333333334,0.850057137887992,0.8571560934559181,0.580058638210386,10368,0.194
covtype,cocoa,ring,iid,10,2,1,2,25,0.634,0.8482630724997956,0.8555707160362739,0.5689898413250575,10800,0.199
covtype,cocoa,ring,iid,10,2,1,2,26,0.6341666666666667,0.8445684871021062,0.852342104384616,0.5567573512060968,11232,0.207
covtype,cocoa,ring,iid,10,2,1,2,27,0.6326666666666667,0.8423831881584234,0.8503092983366556,0.5456542647414011,11664,0.214
covtype,cocoa,ring,iid,10,2,1,2,28,0.633,0.8393839684516635,0.8476633600160923,0.5345358267809805,12096,0.221
covtype,cocoa,ring,iid,10,2,1,2,29,0.6318333333333334,0.8351351636420937,0.8440639394294472,0.522149840501434,12528,0.231
covtype,cocoa,ring,iid,10,2,1,2,30,0.6285,0.831315643298535,0.8406789984135911,0.510224249649385,12960,0.242
covtype,cocoa,ring,iid,10,2,1,2,31,0.6231666666666666,0.8290833974454046,0.8387307547229768,0.49971205154113224,13392,0.249
covtype,cocoa,ring,iid,10,2,1,2,32,0.6288333333333334,0.8272635125099881,0.8371470271154506,0.48898117504447564,13824,0.259
