tag,method,topology,scheme,nodes,gossip_k,components,node,round,test_acc,hinge_loss,primal,duality_gap,comm_bytes,wall_time
covtype,cocoa,ring,label_skew,10,2,1,0,1,0.5175,0.655048268269611,0.6552446865871115,0.6444612825466581,432,0.007
covtype,cocoa,ring,label_skew,10,2,1,0,2,0.4825,1.486647021826555,1.4871043473693664,1.4637577023213324,864,0.016
covtype,cocoa,ring,label_skew,10,2,1,0,3,0.4825,1.9313338917206113,1.9329422913949077,1.8979045684593165,1296,0.018
covtype,cocoa,ring,label_skew,10,2,1,0,4,0.4825,3.5792914784244734,3.5908059772766667,3.544730044396467,1728,0.028
covtype,cocoa,ring,label_skew,10,2,1,0,5,0.4825,3.944385410608082,3.959454797529905,3.903065609302027,2160,0.037
covtype,cocoa,ring,label_skew,10,2,1,0,6,0.4825,3.5629116745675926,3.574517145940197,3.5086065615903776,2592,0.044
covtype,cocoa,ring,label_skew,10,2,1,0,7,0.4825,4.339712936906187,4.359315729243724,4.284268798959328,3024,0.054
covtype,cocoa,ring,label_skew,10,2,1,0,8,0.4825,4.755228809874849,4.780041068654851,4.696611171839351,3456,0.058
covtype,cocoa,ring,label_skew,10,2,1,0,9,0.4825,5.514020726337609,5.549699768676934,5.45844923620531,3888,0.069
covtype,cocoa,ring,label_skew,10,2,1,0,10,0.4825,5.1432766193226716,5.173658375226035,5.075108423524946,4320,0.074
covtype,cocoa,ring,label_skew,10,2,1,0,11,0.4825,5.879206908428986,5.921134685659726,5.815371993775108,4752,0.087
covtype,cocoa,ring,label_skew,10,2,1,0,12,0.4825,6.266550386425576,6.3154749182132095,6.203602822934503,5184,0.091
covtype,cocoa,ring,label_skew,10,2,1,0,13,0.4825,6.64398422593892,6.700284083734158,6.5826799277834045,5616,0.101
covtype,cocoa,ring,label_skew,10,2,1,0,14,0.4825,6.6631055127156635,6.71998486176857,6.597260637384145,6048,0.105
covtype,cocoa,ring,label_skew,10,2,1,0,15,0.4825,7.386767468068057,7.45871771744197,7.331093092799275,6480,0.114
covtype,cocoa,ring,label_skew,10,2,1,0,16,0.4825,7.397434952410873,7.469976062628445,7.337988332644726,6912,0.124
covtype,cocoa,ring,label_skew,10,2,1,0,17,0.4825,8.034495765653096,8.121886702564202,7.985897436650161,7344,0.132
covtype,cocoa,ring,label_skew,10,2,1,0,18,0.4825,7.712990665611834,7.793069416460604,7.653675333279427,7776,0.135
covtype,cocoa,ring,label_skew,10,2,1,0,19,0.4825,7.702681798252427,7.782816286894643,7.640431189909063,8208,0.147
covtype,cocoa,ring,label_skew,10,2,1,0,20,0.4825,7.721771415639116,7.802680600750639,7.657402578154344,8640,0.151
covtype,cocoa,ring,label_skew,10,2,1,0,21,0.4825,8.68154590706097,8.786250339250435,8.638490465280823,9072,0.162
covtype,cocoa,ring,label_skew,10,2,1,0,22,0.4825,8.99912042098415,9.112811154893757,8.962931484866756,9504,0.167
covtype,cocoa,ring,label_skew,10,2,1,0,23,0.4825,9.007398258803148,9.121612314043302,8.970005374776544,9936,0.176
covtype,cocoa,ring,label_skew,10,2,1,0,24,0.4825,9.666391142280299,9.79960856643458,9.646567433392379,10368,0.186
covtype,cocoa,ring,label_skew,10,2,1,0,25,0.4825,10.583689161281821,10.745791920166251,10.591765871609546,10800,0.196
covtype,cocoa,ring,label_skew,10,2,1,0,26,0.4825,10.278626405506284,10.431319945364148,10.276496750719273,11232,0.198
covtype,cocoa,ring,label_skew,10,2,1,0,27,0.4825,10.931124472739562,11.105561787011489,10.950421806259046,11664,0.207
covtype,cocoa,ring,label_skew,10,2,1,0,28,0.4825,11.855689574158053,12.063375804698328,11.907961076114136,12096,0.218
covtype,cocoa,ring,label_skew,10,2,1,0,29,0.4825,12.137823689703525,12.356614146356167,12.201176056142149,12528,0.225
covtype,cocoa,ring,label_skew,10,2,1,0,30,0.4825,12.161231373391125,12.381388534746144,12.226370788569549,12960,0.232
covtype,cocoa,ring,label_skew,10,2,1,0,31,0.4825,12.703467768805103,12.945045274870472,12.790762699515598,13392,0.241
covtype,cocoa,ring,label_skew,10,2,1,0,32,0.4825,12.941904797510686,13.193605645851674,13.040184956157905,13824,0.251
covtype,cocoa,ring,label_skew,10,2,1,0,33,0.4825,13.203194667865693,13.466117342283189,13.313759896790986,14256,0.256
covtype,cocoa,ring,label_skew,10,2,1,0,34,0.4825,12.940274371046806,13.192859007258201,13.041559102564824,14688,0.261
covtype,cocoa,ring,label_skew,10,2,1,0,35,0.4825,13.977787474182804,14.27510226705428,14.125240221779254,15120,0.271
covtype,cocoa,ring,label_skew,10,2,1,0,36,0.4825,14.246414438674426,14.555914954135394,14.407511058325474,15552,0.279
covtype,cocoa,ring,label_skew,10,2,1,0,37,0.4825,14.769748602487736,15.104022089817219,14.957435950368334,15984,0.285
covtype,cocoa,ring,label_skew,10,2,1,0,38,0.4825,14.762627857758511,15.097034740283002,14.952465994396238,16416,0.292
covtype,cocoa,ring,label_skew,10,2,1,0,39,0.4825,15.43876885676168,15.806313925025687,15.664091075996676,16848,0.307
covtype,cocoa,ring,label_skew,10,2,1,0,40,0.4825,15.209583260850048,15.566205569342708,15.426270987194963,17280,0.309
covtype,cocoa,ring,label_skew,10,2,1,0,41,0.4825,15.946942898867459,16.340534630654187,16.20313028842613,17712,0.319
covtype,cocoa,ring,label_skew,10,2,1,0,42,0.4825,16.41066835185113,16.82902980705323,16.694373972097118,18144,0.329
covtype,cocoa,ring,label_skew,10,2,1,0,43,0.4825,16.663520898054163,17.09587057990841,16.96396331759838,18576,0.344
covtype,cocoa,ring,label_skew,10,2,1,0,44,0.4825,16.440408300842954,16.861330997433377,16.732222660935914,19008,0.352
covtype,cocoa,ring,label_skew,10,2,1,0,45,0.4825,17.13260870568316,17.59148084513705,17.465578105835263,19440,0.367
covtype,cocoa,ring,label_skew,10,2,1,0,46,0.4825,17.953453359688005,18.45908736952611,18.336257396014773,19872,0.38
covtype,cocoa,ring,label_skew,10,2,1,0,47,0.4825,18.14284167943518,18.659886819701597,18.540664077086078,20304,0.389
covtype,cocoa,ring,label_skew,10,2,1,0,48,0.4825,18.593073915550114,19.13784397751987,19.022103439373915,20736,0.397
covtype,cocoa,ring,label_skew,10,2,1,0,49,0.4825,18.382375586571946,18.915163207593217,18.802876904835113,21168,0.405
covtype,cocoa,ring,label_skew,10,2,1,0,50,0.4825,19.04180773143034,19.615275403301524,19.506042767829545,21600,0.416
covtype,cocoa,ring,label_skew,10,2,1,0,51,0.4825,19.03700364164557,19.61076272062506,19.505254552973383,22032,0.425
covtype,cocoa,ring,label_skew,10,2,1,0,52,0.4825,19.453791136412967,20.054038400321353,19.952424190501937,22464,0.432
covtype,cocoa,ring,label_skew,10,2,1,0,53,0.4825,19.435067786192473,20.03434987208801,19.93680390333575,22896,0.44
covtype,cocoa,ring,label_skew,10,2,1,0,54,0.4825,19.828075987149774,20.453036350060998,20.359154889415294,23328,0.451
