tag,method,topology,scheme,nodes,gossip_k,components,node,round,test_acc,hinge_loss,primal,duality_gap,comm_bytes,wall_time
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,0,1,0.4825,nan,nan,nan,432,0.006
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,0,2,0.4825,nan,nan,nan,864,0.01
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,0,3,0.4825,nan,nan,nan,1296,0.012
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,0,4,0.4825,nan,nan,nan,1728,0.019
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,0,5,0.4825,nan,nan,nan,2160,0.024
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,0,6,0.4825,nan,nan,nan,2592,0.029
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,0,7,0.4825,nan,nan,nan,3024,0.035
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,0,8,0.4825,nan,nan,nan,3456,0.041
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,0,9,0.4825,nan,nan,nan,3888,0.046
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,0,10,0.4825,nan,nan,nan,4320,0.048
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,0,11,0.4825,nan,nan,nan,4752,0.054
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,0,12,0.4825,nan,nan,nan,5184,0.06
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,0,13,0.4825,nan,nan,nan,5616,0.065
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,0,14,0.4825,nan,nan,nan,6048,0.07
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,0,15,0.4825,nan,nan,nan,6480,0.072
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,0,16,0.4825,nan,nan,nan,6912,0.08
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,0,17,0.4825,nan,nan,nan,7344,0.082
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,0,18,0.4825,nan,nan,nan,7776,0.087
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,0,19,0.4825,nan,nan,nan,8208,0.092
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,0,20,0.4825,nan,nan,nan,8640,0.099
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,0,21,0.4825,nan,nan,nan,9072,0.101
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,0,22,0.4825,nan,nan,nan,9504,0.111
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,0,23,0.4825,nan,nan,nan,9936,0.113
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,0,24,0.4825,nan,nan,nan,10368,0.117
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,0,25,0.4825,nan,nan,nan,10800,0.125
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,0,26,0.4825,nan,nan,nan,11232,0.127
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,0,27,0.4825,nan,nan,nan,11664,0.135
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,0,28,0.4825,nan,nan,nan,12096,0.139
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,0,29,0.4825,nan,nan,nan,12528,0.141
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,0,30,0.4825,nan,nan,nan,12960,0.146
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,0,31,0.4825,nan,nan,nan,13392,0.152
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,0,32,0.4825,nan,nan,nan,13824,0.156
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,0,33,0.4825,nan,nan,nan,14256,0.162
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,0,34,0.4825,nan,nan,nan,14688,0.168
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,0,35,0.4825,nan,nan,nan,15120,0.171
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,0,36,0.4825,nan,nan,nan,15552,0.175
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,0,37,0.4825,nan,nan,nan,15984,0.184
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,0,38,0.4825,nan,nan,nan,16416,0.188
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,0,39,0.4825,nan,nan,nan,16848,0.19
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,0,40,0.4825,nan,nan,nan,17280,0.197
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,0,41,0.4825,nan,nan,nan,17712,0.201
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,0,42,0.4825,nan,nan,nan,18144,0.206
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,0,43,0.4825,nan,nan,nan,18576,0.213
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,0,44,0.4825,nan,nan,nan,19008,0.217
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,0,45,0.4825,nan,nan,nan,19440,0.22
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,0,46,0.4825,nan,nan,nan,19872,0.228
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,0,47,0.4825,nan,nan,nan,20304,0.232
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,0,48,0.4825,nan,nan,nan,20736,0.234
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,0,49,0.4825,nan,nan,nan,21168,0.239
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,0,50,0.4825,nan,nan,nan,21600,0.246
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,0,51,0.4825,nan,nan,nan,22032,0.25
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,0,52,0.4825,nan,nan,nan,22464,0.257
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,0,53,0.4825,nan,nan,nan,22896,0.262
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,0,54,0.4825,nan,nan,nan,23328,0.266
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,0,55,0.4825,nan,nan,nan,23760,0.272
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,0,56,0.4825,nan,nan,nan,24192,0.276
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,0,57,0.4825,nan,nan,nan,24624,0.281
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,0,58,0.4825,nan,nan,nan,25056,0.288
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,0,59,0.4825,nan,nan,nan,25488,0.292
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,0,60,0.4825,nan,nan,nan,25920,0.295
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,1,1,0.4825,0.0,0.0014317443128675222,nan,432,0.006
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,1,2,0.4825,0.0,0.002240046625956893,nan,864,0.011
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,1,3,0.4825,0.0,0.0009172474965453148,nan,1296,0.013
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,1,4,0.4825,0.0,0.0009417481487616897,nan,1728,0.017
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,1,5,0.4825,0.0,0.001676107756793499,nan,2160,0.025
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,1,6,0.4825,0.003029352805552832,0.003939364682392976,nan,2592,0.028
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,1,7,0.4825,0.0,0.0015911023365333676,nan,3024,0.034
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,1,8,0.4825,0.0,0.0017067790031433105,nan,3456,0.04
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,1,9,0.4825,0.0,0.0009341147961094975,nan,3888,0.043
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,1,10,0.4825,0.0,0.0017958530224859715,nan,4320,0.05
covtype,fdr_svm,ring,dirichlet_0.1,10,2,1,1,11,0.4825,0.0,0.0009330843458883464,nan,4752,0.053
