tag,method,topology,scheme,nodes,gossip_k,components,node,round,test_acc,hinge_loss,primal,duality_gap,comm_bytes,wall_time
covtype,fedavg_svm,ring,dirichlet_0.1,10,2,1,0,1,0.5175,nan,nan,nan,432,0.007
covtype,fedavg_svm,ring,dirichlet_0.1,10,2,1,0,2,0.5175,nan,nan,nan,864,0.011
covtype,fedavg_svm,ring,dirichlet_0.1,10,2,1,0,3,0.4825,nan,nan,nan,1296,0.013
covtype,fedavg_svm,ring,dirichlet_0.1,10,2,1,0,4,0.4825,nan,nan,nan,1728,0.018
covtype,fedavg_svm,ring,dirichlet_0.1,10,2,1,0,5,0.5175,nan,nan,nan,2160,0.021
covtype,fedavg_svm,ring,dirichlet_0.1,10,2,1,0,6,0.4825,nan,nan,nan,2592,0.025
covtype,fedavg_svm,ring,dirichlet_0.1,10,2,1,0,7,0.49783333333333335,nan,nan,nan,3024,0.029
covtype,fedavg_svm,ring,dirichlet_0.1,10,2,1,0,8,0.5175,nan,nan,nan,3456,0.034
covtype,fedavg_svm,ring,dirichlet_0.1,10,2,1,0,9,0.5175,nan,nan,nan,3888,0.038
covtype,fedavg_svm,ring,dirichlet_0.1,10,2,1,0,10,0.5175,nan,nan,nan,4320,0.039
covtype,fedavg_svm,ring,dirichlet_0.1,10,2,1,0,11,0.4825,nan,nan,nan,4752,0.044
covtype,fedavg_svm,ring,dirichlet_0.1,10,2,1,0,12,0.4825,nan,nan,nan,5184,0.051
covtype,fedavg_svm,ring,dirichlet_0.1,10,2,1,0,13,0.4825,nan,nan,nan,5616,0.055
covtype,fedavg_svm,ring,dirichlet_0.1,10,2,1,0,14,0.5175,nan,nan,nan,6048,0.058
covtype,fedavg_svm,ring,dirichlet_0.1,10,2,1,0,15,0.5175,nan,nan,nan,6480,0.06
covtype,fedavg_svm,ring,dirichlet_0.1,10,2,1,0,16,0.5175,nan,nan,nan,6912,0.069
covtype,fedavg_svm,ring,dirichlet_0.1,10,2,1,0,17,0.5175,nan,nan,nan,7344,0.074
covtype,fedavg_svm,ring,dirichlet_0.1,10,2,1,0,18,0.5175,nan,nan,nan,7776,0.08
covtype,fedavg_svm,ring,dirichlet_0.1,10,2,1,0,19,0.5445,nan,nan,nan,8208,0.085
covtype,fedavg_svm,ring,dirichlet_0.1,10,2,1,0,20,0.5175,nan,nan,nan,8640,0.098
covtype,fedavg_svm,ring,dirichlet_0.1,10,2,1,0,21,0.4825,nan,nan,nan,9072,0.1
covtype,fedavg_svm,ring,dirichlet_0.1,10,2,1,0,22,0.5175,nan,nan,nan,9504,0.108
covtype,fedavg_svm,ring,dirichlet_0.1,10,2,1,0,23,0.5175,nan,nan,nan,9936,0.11
covtype,fedavg_svm,ring,dirichlet_0.1,10,2,1,0,24,0.5175,nan,nan,nan,10368,0.113
covtype,fedavg_svm,ring,dirichlet_0.1,10,2,1,0,25,0.5608333333333333,nan,nan,nan,10800,0.12
covtype,fedavg_svm,ring,dirichlet_0.1,10,2,1,0,26,0.5608333333333333,nan,nan,nan,11232,0.122
covtype,fedavg_svm,ring,dirichlet_0.1,10,2,1,0,27,0.5175,nan,nan,nan,11664,0.127
covtype,fedavg_svm,ring,dirichlet_0.1,10,2,1,0,28,0.5175,nan,nan,nan,12096,0.13
covtype,fedavg_svm,ring,dirichlet_0.1,10,2,1,0,29,0.4825,nan,nan,nan,12528,0.132
covtype,fedavg_svm,ring,dirichlet_0.1,10,2,1,0,30,0.5175,nan,nan,nan,12960,0.135
covtype,fedavg_svm,ring,dirichlet_0.1,10,2,1,0,31,0.5175,nan,nan,nan,13392,0.14
covtype,fedavg_svm,ring,dirichlet_0.1,10,2,1,0,32,0.5175,nan,nan,nan,13824,0.143
covtype,fedavg_svm,ring,dirichlet_0.1,10,2,1,0,33,0.4825,nan,nan,nan,14256,0.147
covtype,fedavg_svm,ring,dirichlet_0.1,10,2,1,0,34,0.4825,nan,nan,nan,14688,0.152
covtype,fedavg_svm,ring,dirichlet_0.1,10,2,1,0,35,0.4825,nan,nan,nan,15120,0.154
covtype,fedavg_svm,ring,dirichlet_0.1,10,2,1,0,36,0.5175,nan,nan,nan,15552,0.158
covtype,fedavg_svm,ring,dirichlet_0.1,10,2,1,0,37,0.48233333333333334,nan,nan,nan,15984,0.167
covtype,fedavg_svm,ring,dirichlet_0.1,10,2,1,0,38,0.5175,nan,nan,nan,16416,0.17
covtype,fedavg_svm,ring,dirichlet_0.1,10,2,1,0,39,0.5175,nan,nan,nan,16848,0.172
covtype,fedavg_svm,ring,dirichlet_0.1,10,2,1,0,40,0.5175,nan,nan,nan,17280,0.178
covtype,fedavg_svm,ring,dirichlet_0.1,10,2,1,0,41,0.4825,nan,nan,nan,17712,0.18
covtype,fedavg_svm,ring,dirichlet_0.1,10,2,1,0,42,0.4825,nan,nan,nan,18144,0.184
covtype,fedavg_svm,ring,dirichlet_0.1,10,2,1,0,43,0.4766666666666667,nan,nan,nan,18576,0.189
covtype,fedavg_svm,ring,dirichlet_0.1,10,2,1,0,44,0.5175,nan,nan,nan,19008,0.193
covtype,fedavg_svm,ring,dirichlet_0.1,10,2,1,0,45,0.6055,nan,nan,nan,19440,0.195
