tag,method,topology,scheme,nodes,gossip_k,components,node,round,test_acc,hinge_loss,primal,duality_gap,comm_bytes,wall_time
covtype,fedavg_svm,ring,iid,10,2,1,0,1,0.5503333333333333,1.7848310499079003,2.080664965379931,nan,432,0.008
covtype,fedavg_svm,ring,iid,10,2,1,0,2,0.5955,1.1319513216336639,1.4140363231023223,nan,864,0.011
covtype,fedavg_svm,ring,iid,10,2,1,0,3,0.5563333333333333,1.2203715790093013,1.5066336441814967,nan,1296,0.014
covtype,fedavg_svm,ring,iid,10,2,1,0,4,0.49383333333333335,2.24826580087058,2.5600531081330007,nan,1728,0.022
covtype,fedavg_svm,ring,iid,10,2,1,0,5,0.5441666666666667,2.40934527018458,2.7574863741675055,nan,2160,0.027
covtype,fedavg_svm,ring,iid,10,2,1,0,6,0.5513333333333333,1.1727059930650732,1.351353809246256,nan,2592,0.033
covtype,fedavg_svm,ring,iid,10,2,1,0,7,0.5341666666666667,1.4016670452940894,1.6599369513380957,nan,3024,0.039
covtype,fedavg_svm,ring,iid,10,2,1,0,8,0.5638333333333333,1.2825160771116904,1.535450741599529,nan,3456,0.046
covtype,fedavg_svm,ring,iid,10,2,1,0,9,0.5175,2.9331362127441585,3.2583729504722774,nan,3888,0.052
covtype,fedavg_svm,ring,iid,10,2,1,0,10,0.6161666666666666,0.99518644807216,1.2197059094655163,nan,4320,0.054
covtype,fedavg_svm,ring,iid,10,2,1,0,11,0.5548333333333333,1.2078025115224236,1.4111186189147347,nan,4752,0.061
covtype,fedavg_svm,ring,iid,10,2,1,0,12,0.5231666666666667,2.40888905259979,2.686022636622312,nan,5184,0.066
covtype,fedavg_svm,ring,iid,10,2,1,0,13,0.503,1.549309336606394,1.7603456313051091,nan,5616,0.073
covtype,fedavg_svm,ring,iid,10,2,1,0,14,0.5626666666666666,2.1131336794051365,2.43426127292244,nan,6048,0.079
covtype,fedavg_svm,ring,iid,10,2,1,0,15,0.5175,2.370709227332314,2.61178893030568,nan,6480,0.081
covtype,fedavg_svm,ring,iid,10,2,1,0,16,0.6091666666666666,0.9775693835692084,1.2418983401732122,nan,6912,0.09
covtype,fedavg_svm,ring,iid,10,2,1,0,17,0.5361666666666667,1.5966563594116712,1.8247620534672284,nan,7344,0.093
covtype,fedavg_svm,ring,iid,10,2,1,0,18,0.5681666666666667,1.6138064698426096,1.8871569768635599,nan,7776,0.098
covtype,fedavg_svm,ring,iid,10,2,1,0,19,0.6176666666666667,1.1548592081464497,1.5135775735772816,nan,8208,0.104
covtype,fedavg_svm,ring,iid,10,2,1,0,20,0.5585,1.933267412743176,2.2881170194955716,nan,8640,0.11
covtype,fedavg_svm,ring,iid,10,2,1,0,21,0.5288333333333334,1.5953368589565142,1.9113353535816058,nan,9072,0.113
covtype,fedavg_svm,ring,iid,10,2,1,0,22,0.5655,2.141549074320214,2.4530005392116476,nan,9504,0.122
covtype,fedavg_svm,ring,iid,10,2,1,0,23,0.582,1.1459097621924923,1.2872121689803646,nan,9936,0.126
covtype,fedavg_svm,ring,iid,10,2,1,0,24,0.49883333333333335,2.9240428788474757,3.317420778971072,nan,10368,0.13
covtype,fedavg_svm,ring,iid,10,2,1,0,25,0.5815,1.9206536033917594,2.164663366394155,nan,10800,0.138
covtype,fedavg_svm,ring,iid,10,2,1,0,26,0.5681666666666667,1.5525743148592304,1.8055876574781726,nan,11232,0.14
covtype,fedavg_svm,ring,iid,10,2,1,0,27,0.52,1.7321985234782535,2.024309652046903,nan,11664,0.149
covtype,fedavg_svm,ring,iid,10,2,1,0,28,0.5035,2.4288344501277273,2.6186198859235112,nan,12096,0.153
covtype,fedavg_svm,ring,iid,10,2,1,0,29,0.5395,1.263137137943185,1.4460589945849545,nan,12528,0.156
covtype,fedavg_svm,ring,iid,10,2,1,0,30,0.49016666666666664,2.005194732949911,2.240103447840391,nan,12960,0.161
covtype,fedavg_svm,ring,iid,10,2,1,0,31,0.6261666666666666,1.2042366566045855,1.49166661518651,nan,13392,0.168
covtype,fedavg_svm,ring,iid,10,2,1,0,32,0.5323333333333333,2.1547229578780547,2.460425644187869,nan,13824,0.173
covtype,fedavg_svm,ring,iid,10,2,1,0,33,0.6028333333333333,1.4025268864476577,1.7450362753713027,nan,14256,0.179
covtype,fedavg_svm,ring,iid,10,2,1,0,34,0.5165,1.5809375722019008,1.772680677851849,nan,14688,0.185
covtype,fedavg_svm,ring,iid,10,2,1,0,35,0.5428333333333333,1.292259688372556,1.5012960535239612,nan,15120,0.189
covtype,fedavg_svm,ring,iid,10,2,1,0,36,0.49566666666666664,2.3217777801822628,2.5463474733900036,nan,15552,0.194
covtype,fedavg_svm,ring,iid,10,2,1,0,37,0.6131666666666666,1.5087001120606087,1.794228354648652,nan,15984,0.202
covtype,fedavg_svm,ring,iid,10,2,1,0,38,0.5806666666666667,1.453123351349324,1.7876119518418014,nan,16416,0.206
