tag,method,topology,scheme,nodes,gossip_k,components,node,round,test_acc,hinge_loss,primal,duality_gap,comm_bytes,wall_time
covtype,fedavg_svm,ring,label_skew,10,2,1,0,1,0.5175,0.0,0.021245762705802917,nan,432,0.004
covtype,fedavg_svm,ring,label_skew,10,2,1,0,2,0.5175,0.0,0.023495377972722054,nan,864,0.008
covtype,fedavg_svm,ring,label_skew,10,2,1,0,3,0.5175,0.0,0.02241557091474533,nan,1296,0.01
covtype,fedavg_svm,ring,label_skew,10,2,1,0,4,0.5175,0.0,0.02424326352775097,nan,1728,0.016
covtype,fedavg_svm,ring,label_skew,10,2,1,0,5,0.5175,0.0,0.02577236294746399,nan,2160,0.02
covtype,fedavg_svm,ring,label_skew,10,2,1,0,6,0.5175,0.0,0.024316200986504555,nan,2592,0.024
covtype,fedavg_svm,ring,label_skew,10,2,1,0,7,0.5175,0.0,0.020719757303595543,nan,3024,0.028
covtype,fedavg_svm,ring,label_skew,10,2,1,0,8,0.5175,0.0,0.027074631303548813,nan,3456,0.034
covtype,fedavg_svm,ring,label_skew,10,2,1,0,9,0.5175,0.0,0.023620642721652985,nan,3888,0.038
covtype,fedavg_svm,ring,label_skew,10,2,1,0,10,0.5175,0.0,0.023274054750800133,nan,4320,0.039
covtype,fedavg_svm,ring,label_skew,10,2,1,0,11,0.5175,0.0,0.026998573914170265,nan,4752,0.044
covtype,fedavg_svm,ring,label_skew,10,2,1,0,12,0.5175,0.0,0.019266502931714058,nan,5184,0.048
covtype,fedavg_svm,ring,label_skew,10,2,1,0,13,0.5175,0.0,0.022274931892752647,nan,5616,0.053
covtype,fedavg_svm,ring,label_skew,10,2,1,0,14,0.5175,0.0,0.0221304539591074,nan,6048,0.057
covtype,fedavg_svm,ring,label_skew,10,2,1,0,15,0.5175,0.0,0.025463106110692024,nan,6480,0.059
covtype,fedavg_svm,ring,label_skew,10,2,1,0,16,0.5175,0.0,0.016829831525683403,nan,6912,0.065
covtype,fedavg_svm,ring,label_skew,10,2,1,0,17,0.5175,0.0,0.027698125690221786,nan,7344,0.068
covtype,fedavg_svm,ring,label_skew,10,2,1,0,18,0.5175,0.0,0.026407450437545776,nan,7776,0.072
covtype,fedavg_svm,ring,label_skew,10,2,1,0,19,0.5175,0.0,0.0263057891279459,nan,8208,0.077
covtype,fedavg_svm,ring,label_skew,10,2,1,0,20,0.5175,0.0,0.02440674416720867,nan,8640,0.082
covtype,fedavg_svm,ring,label_skew,10,2,1,0,21,0.5175,0.0,0.024244239553809166,nan,9072,0.084
covtype,fedavg_svm,ring,label_skew,10,2,1,0,22,0.5175,0.0,0.022509150207042694,nan,9504,0.091
covtype,fedavg_svm,ring,label_skew,10,2,1,0,23,0.5175,0.0,0.023566292598843575,nan,9936,0.094
covtype,fedavg_svm,ring,label_skew,10,2,1,0,24,0.5175,0.0,0.0241982601583004,nan,10368,0.097
covtype,fedavg_svm,ring,label_skew,10,2,1,0,25,0.5175,0.0,0.025832971557974815,nan,10800,0.102
covtype,fedavg_svm,ring,label_skew,10,2,1,0,26,0.5175,0.0,0.024067582562565804,nan,11232,0.104
covtype,fedavg_svm,ring,label_skew,10,2,1,0,27,0.5175,0.0,0.02144276350736618,nan,11664,0.11
covtype,fedavg_svm,ring,label_skew,10,2,1,0,28,0.5175,0.0,0.025734657421708107,nan,12096,0.114
covtype,fedavg_svm,ring,label_skew,10,2,1,0,29,0.5175,0.0,0.02346324920654297,nan,12528,0.116
covtype,fedavg_svm,ring,label_skew,10,2,1,0,30,0.5175,0.0,0.026296772062778473,nan,12960,0.12
covtype,fedavg_svm,ring,label_skew,10,2,1,0,31,0.5175,0.0,0.02328636683523655,nan,13392,0.125
covtype,fedavg_svm,ring,label_skew,10,2,1,0,32,0.5175,0.0,0.027437232434749603,nan,13824,0.128
covtype,fedavg_svm,ring,label_skew,10,2,1,0,33,0.5175,0.0,0.025372276082634926,nan,14256,0.133
covtype,fedavg_svm,ring,label_skew,10,2,1,0,34,0.5175,0.0,0.028005916625261307,nan,14688,0.138
covtype,fedavg_svm,ring,label_skew,10,2,1,0,35,0.5175,0.0,0.020499497652053833,nan,15120,0.14
covtype,fedavg_svm,ring,label_skew,10,2,1,0,36,0.5175,0.0,0.025699026882648468,nan,15552,0.144
covtype,fedavg_svm,ring,label_skew,10,2,1,0,37,0.5175,0.0,0.020778341218829155,nan,15984,0.15
covtype,fedavg_svm,ring,label_skew,10,2,1,0,38,0.5175,0.0,0.025792984291911125,nan,16416,0.154
covtype,fedavg_svm,ring,label_skew,10,2,1,0,39,0.5175,0.0,0.029314912855625153,nan,16848,0.155
covtype,fedavg_svm,ring,label_skew,10,2,1,0,40,0.5175,0.0,0.02373846061527729,nan,17280,0.161
covtype,fedavg_svm,ring,label_skew,10,2,1,0,41,0.5175,0.0,0.027343353256583214,nan,17712,0.164
covtype,fedavg_svm,ring,label_skew,10,2,1,0,42,0.5175,0.0,0.024351835250854492,nan,18144,0.168
covtype,fedavg_svm,ring,label_skew,10,2,1,0,43,0.5175,0.0,0.02743879333138466,nan,18576,0.174
covtype,fedavg_svm,ring,label_skew,10,2,1,0,44,0.5175,0.0,0.020924072712659836,nan,19008,0.177
covtype,fedavg_svm,ring,label_skew,10,2,1,0,45,0.5175,0.0,0.018819516524672508,nan,19440,0.179
covtype,fedavg_svm,ring,label_skew,10,2,1,0,46,0.5175,0.0,0.023596733808517456,nan,19872,0.186
covtype,fedavg_svm,ring,label_skew,10,2,1,0,47,0.5175,0.0,0.02880963310599327,nan,20304,0.189
covtype,fedavg_svm,ring,label_skew,10,2,1,0,48,0.5175,0.0,0.022311894223093987,nan,20736,0.191
covtype,fedavg_svm,ring,label_skew,10,2,1,0,49,0.5175,0.0,0.023679744452238083,nan,21168,0.194
covtype,fedavg_svm,ring,label_skew,10,2,1,0,50,0.5175,0.0,0.026696179062128067,nan,21600,0.2
covtype,fedavg_svm,ring,label_skew,10,2,1,0,51,0.5175,0.0,0.02597436122596264,nan,22032,0.202
covtype,fedavg_svm,ring,label_skew,10,2,1,0,52,0.5175,0.0,0.022162532433867455,nan,22464,0.208
covtype,fedavg_svm,ring,label_skew,10,2,1,0,53,0.5175,0.0,0.025695914402604103,nan,22896,0.212
covtype,fedavg_svm,ring,label_skew,10,2,1,0,54,0.5175,0.0,0.022164415568113327,nan,23328,0.215
covtype,fedavg_svm,ring,label_skew,10,2,1,0,55,0.5175,0.0,0.02477150596678257,nan,23760,0.219
covtype,fedavg_svm,ring,label_skew,10,2,1,0,56,0.5175,0.0,0.023532304912805557,nan,24192,0.223
covtype,fedavg_svm,ring,label_skew,10,2,1,0,57,0.5175,0.0,0.02208366058766842,nan,24624,0.227
covtype,fedavg_svm,ring,label_skew,10,2,1,0,58,0.5175,0.0,0.02342386730015278,nan,25056,0.233
covtype,fedavg_svm,ring,label_skew,10,2,1,0,59,0.5175,0.0,0.02646641992032528,nan,25488,0.237
covtype,fedavg_svm,ring,label_skew,10,2,1,0,60,0.5175,0.0,0.017953190952539444,nan,25920,0.24
covtype,fedavg_svm,ring,label_skew,10,2,1,1,1,0.4825,0.0,0.02673049457371235,nan,432,0.004
covtype,fedavg_svm,ring,label_skew,10,2,1,1,2,0.4825,0.0,0.023055579513311386,nan,864,0.008
covtype,fedavg_svm,ring,label_skew,10,2,1,1,3,0.4825,0.0,0.021428443491458893,nan,1296,0.011
covtype,fedavg_svm,ring,label_skew,10,2,1,1,4,0.4825,0.0,0.029138987883925438,nan,1728,0.014
covtype,fedavg_svm,ring,label_skew,10,2,1,1,5,0.4825,0.0,0.02544425241649151,nan,2160,0.021
covtype,fedavg_svm,ring,label_skew,10,2,1,1,6,0.4825,0.0,0.02364508993923664,nan,2592,0.023
covtype,fedavg_svm,ring,label_skew,10,2,1,1,7,0.4825,0.0,0.02315053902566433,nan,3024,0.027
covtype,fedavg_svm,ring,label_skew,10,2,1,1,8,0.4825,0.0,0.028998062014579773,nan,3456,0.032
covtype,fedavg_svm,ring,label_skew,10,2,1,1,9,0.4825,0.0,0.021009452641010284,nan,3888,0.035
covtype,fedavg_svm,ring,label_skew,10,2,1,1,10,0.4825,0.0,0.021290339529514313,nan,4320,0.041
covtype,fedavg_svm,ring,label_skew,10,2,1,1,11,0.4825,0.0,0.02375703677535057,nan,4752,0.043
covtype,fedavg_svm,ring,label_skew,10,2,1,1,12,0.4825,0.0,0.02483494020998478,nan,5184,0.046
covtype,fedavg_svm,ring,label_skew,10,2,1,1,13,0.4825,0.0,0.021161999553442,nan,5616,0.052
covtype,fedavg_svm,ring,label_skew,10,2,1,1,14,0.4825,0.0,0.02762959897518158,nan,6048,0.055
covtype,fedavg_svm,ring,label_skew,10,2,1,1,15,0.4825,0.0,0.0317610502243042,nan,6480,0.06
covtype,fedavg_svm,ring,label_skew,10,2,1,1,16,0.4825,0.0,0.022553404793143272,nan,6912,0.064
covtype,fedavg_svm,ring,label_skew,10,2,1,1,17,0.4825,0.0,0.02453427202999592,nan,7344,0.07
covtype,fedavg_svm,ring,label_skew,10,2,1,1,18,0.4825,0.0,0.0260283425450325,nan,7776,0.073
covtype,fedavg_svm,ring,label_skew,10,2,1,1,19,0.4825,0.0,0.0239191185683012,nan,8208,0.076
covtype,fedavg_svm,ring,label_skew,10,2,1,1,20,0.4825,0.0,0.019390102475881577,nan,8640,0.082
covtype,fedavg_svm,ring,label_skew,10,2,1,1,21,0.4825,0.0,0.026212677359580994,nan,9072,0.085
covtype,fedavg_svm,ring,label_skew,10,2,1,1,22,0.4825,0.0,0.021354444324970245,nan,9504,0.09
covtype,fedavg_svm,ring,label_skew,10,2,1,1,23,0.4825,0.0,0.03023461252450943,nan,9936,0.095
covtype,fedavg_svm,ring,label_skew,10,2,1,1,24,0.4825,0.0,0.02274910919368267,nan,10368,0.097
covtype,fedavg_svm,ring,label_skew,10,2,1,1,25,0.4825,0.0,0.03023461252450943,nan,10800,0.102
covtype,fedavg_svm,ring,label_skew,10,2,1,1,26,0.4825,0.0,0.02588745765388012,nan,11232,0.107
covtype,fedavg_svm,ring,label_skew,10,2,1,1,27,0.4825,0.0,0.03123377077281475,nan,11664,0.108
covtype,fedavg_svm,ring,label_skew,10,2,1,1,28,0.4825,0.0,0.02191227301955223,nan,12096,0.115
covtype,fedavg_svm,ring,label_skew,10,2,1,1,29,0.4825,0.0,0.02127104438841343,nan,12528,0.118
covtype,fedavg_svm,ring,label_skew,10,2,1,1,30,0.4825,0.0,0.030790695920586586,nan,12960,0.121
covtype,fedavg_svm,ring,label_skew,10,2,1,1,31,0.4825,0.0,0.023386267945170403,nan,13392,0.127
covtype,fedavg_svm,ring,label_skew,10,2,1,1,32,0.4825,0.0,0.021506864577531815,nan,13824,0.13
covtype,fedavg_svm,ring,label_skew,10,2,1,1,33,0.4825,0.0,0.023409172892570496,nan,14256,0.132
covtype,fedavg_svm,ring,label_skew,10,2,1,1,34,0.4825,0.0,0.02538575418293476,nan,14688,0.135
covtype,fedavg_svm,ring,label_skew,10,2,1,1,35,0.4825,0.0,0.022623829543590546,nan,15120,0.139
covtype,fedavg_svm,ring,label_skew,10,2,1,1,36,0.4825,0.0,0.028491677716374397,nan,15552,0.145
covtype,fedavg_svm,ring,label_skew,10,2,1,1,37,0.4825,0.0,0.022024257108569145,nan,15984,0.149
