tag,method,topology,scheme,nodes,gossip_k,components,node,round,test_acc,hinge_loss,primal,duality_gap,comm_bytes,wall_time
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,0,1,nan,nan,nan,nan,22896,0.198
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,0,2,nan,nan,nan,nan,45792,0.199
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,0,3,nan,nan,nan,nan,68688,0.2
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,0,4,nan,nan,nan,nan,91584,0.201
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,0,5,nan,nan,nan,nan,114480,0.202
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,0,6,nan,nan,nan,nan,137376,0.203
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,0,7,nan,nan,nan,nan,160272,0.204
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,0,8,nan,nan,nan,nan,183168,0.205
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,0,9,nan,nan,nan,nan,206064,0.206
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,0,10,nan,nan,nan,nan,228960,0.206
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,0,11,nan,nan,nan,nan,251856,0.207
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,0,12,nan,nan,nan,nan,274752,0.211
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,0,13,nan,nan,nan,nan,297648,0.215
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,0,14,nan,nan,nan,nan,320544,0.216
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,0,15,nan,nan,nan,nan,343440,0.218
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,0,16,nan,nan,nan,nan,366336,0.22
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,0,17,nan,nan,nan,nan,389232,0.221
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,0,18,nan,nan,nan,nan,412128,0.223
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,0,19,nan,nan,nan,nan,435024,0.224
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,0,20,0.4825,nan,nan,nan,435448,0.391
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,0,21,0.5175,nan,nan,nan,435872,0.404
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,0,22,0.5175,nan,nan,nan,436296,0.406
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,0,23,0.5175,nan,nan,nan,436720,0.407
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,0,24,0.5493333333333333,nan,nan,nan,437144,0.409
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,0,25,0.4826666666666667,nan,nan,nan,437568,0.412
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,0,26,0.4825,nan,nan,nan,437992,0.415
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,0,27,0.4851666666666667,nan,nan,nan,438416,0.418
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,0,28,0.4851666666666667,nan,nan,nan,438840,0.421
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,0,29,0.485,nan,nan,nan,439264,0.423
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,0,30,0.48433333333333334,nan,nan,nan,439688,0.425
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,0,31,0.4871666666666667,nan,nan,nan,440112,0.427
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,0,32,0.4886666666666667,nan,nan,nan,440536,0.429
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,0,33,0.4885,nan,nan,nan,440960,0.43
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,0,34,0.48883333333333334,nan,nan,nan,441384,0.433
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,0,35,0.48883333333333334,nan,nan,nan,441808,0.436
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,0,36,0.48883333333333334,nan,nan,nan,442232,0.439
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,0,37,0.48883333333333334,nan,nan,nan,442656,0.442
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,0,38,0.48883333333333334,nan,nan,nan,443080,0.444
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,0,39,0.48883333333333334,nan,nan,nan,443504,0.446
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,0,40,0.48883333333333334,nan,nan,nan,443928,0.448
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,0,41,0.48883333333333334,nan,nan,nan,444352,0.45
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,0,42,0.48883333333333334,nan,nan,nan,444776,0.451
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,0,43,0.48883333333333334,nan,nan,nan,445200,0.455
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,0,44,0.48883333333333334,nan,nan,nan,445624,0.458
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,0,45,0.48883333333333334,nan,nan,nan,446048,0.46
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,0,46,0.48883333333333334,nan,nan,nan,446472,0.464
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,0,47,0.48883333333333334,nan,nan,nan,446896,0.465
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,0,48,0.48883333333333334,nan,nan,nan,447320,0.467
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,0,49,0.48883333333333334,nan,nan,nan,447744,0.468
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,0,50,0.48883333333333334,nan,nan,nan,448168,0.47
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,0,51,0.48883333333333334,nan,nan,nan,448592,0.471
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,0,52,0.48883333333333334,nan,nan,nan,449016,0.473
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,0,53,0.48883333333333334,nan,nan,nan,449440,0.475
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,0,54,0.48883333333333334,nan,nan,nan,449864,0.476
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,0,55,0.48883333333333334,nan,nan,nan,450288,0.478
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,0,56,0.48883333333333334,nan,nan,nan,450712,0.48
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,0,57,0.48883333333333334,nan,nan,nan,451136,0.481
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,0,58,0.48883333333333334,nan,nan,nan,451560,0.483
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,0,59,0.48883333333333334,nan,nan,nan,451984,0.485
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,0,60,0.48883333333333334,nan,nan,nan,452408,0.486
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,1,1,nan,nan,nan,nan,22896,0.199
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,1,2,nan,nan,nan,nan,45792,0.2
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,1,3,nan,nan,nan,nan,68688,0.2
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,1,4,nan,nan,nan,nan,91584,0.201
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,1,5,nan,nan,nan,nan,114480,0.202
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,1,6,nan,nan,nan,nan,137376,0.203
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,1,7,nan,nan,nan,nan,160272,0.204
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,1,8,nan,nan,nan,nan,183168,0.205
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,1,9,nan,nan,nan,nan,206064,0.206
covtype,fedssl_amc,ring,dirichlet_0.1,10,2,1,1,10,nan,nan,nan,nan,228960,0.207
