tag,method,topology,scheme,nodes,gossip_k,components,node,round,test_acc,hinge_loss,primal,duality_gap,comm_bytes,wall_time
covtype,fedssl_amc,ring,label_skew,10,2,1,0,1,nan,nan,nan,nan,22896,0.15
covtype,fedssl_amc,ring,label_skew,10,2,1,0,2,nan,nan,nan,nan,45792,0.151
covtype,fedssl_amc,ring,label_skew,10,2,1,0,3,nan,nan,nan,nan,68688,0.151
covtype,fedssl_amc,ring,label_skew,10,2,1,0,4,nan,nan,nan,nan,91584,0.152
covtype,fedssl_amc,ring,label_skew,10,2,1,0,5,nan,nan,nan,nan,114480,0.154
covtype,fedssl_amc,ring,label_skew,10,2,1,0,6,nan,nan,nan,nan,137376,0.154
covtype,fedssl_amc,ring,label_skew,10,2,1,0,7,nan,nan,nan,nan,160272,0.155
covtype,fedssl_amc,ring,label_skew,10,2,1,0,8,nan,nan,nan,nan,183168,0.156
covtype,fedssl_amc,ring,label_skew,10,2,1,0,9,nan,nan,nan,nan,206064,0.157
covtype,fedssl_amc,ring,label_skew,10,2,1,0,10,nan,nan,nan,nan,228960,0.158
covtype,fedssl_amc,ring,label_skew,10,2,1,0,11,nan,nan,nan,nan,251856,0.16
covtype,fedssl_amc,ring,label_skew,10,2,1,0,12,nan,nan,nan,nan,274752,0.163
covtype,fedssl_amc,ring,label_skew,10,2,1,0,13,nan,nan,nan,nan,297648,0.165
covtype,fedssl_amc,ring,label_skew,10,2,1,0,14,nan,nan,nan,nan,320544,0.166
covtype,fedssl_amc,ring,label_skew,10,2,1,0,15,nan,nan,nan,nan,343440,0.169
covtype,fedssl_amc,ring,label_skew,10,2,1,0,16,nan,nan,nan,nan,366336,0.169
covtype,fedssl_amc,ring,label_skew,10,2,1,0,17,nan,nan,nan,nan,389232,0.17
covtype,fedssl_amc,ring,label_skew,10,2,1,0,18,nan,nan,nan,nan,412128,0.172
covtype,fedssl_amc,ring,label_skew,10,2,1,0,19,nan,nan,nan,nan,435024,0.173
covtype,fedssl_amc,ring,label_skew,10,2,1,0,20,0.4825,1.0,1.0,nan,435448,0.184
covtype,fedssl_amc,ring,label_skew,10,2,1,0,21,0.4825,1.0,1.0,nan,435872,0.19
covtype,fedssl_amc,ring,label_skew,10,2,1,0,22,0.4825,1.0,1.0,nan,436296,0.192
covtype,fedssl_amc,ring,label_skew,10,2,1,0,23,0.4825,1.0,1.0,nan,436720,0.194
covtype,fedssl_amc,ring,label_skew,10,2,1,0,24,0.4825,1.0,1.0,nan,437144,0.196
covtype,fedssl_amc,ring,label_skew,10,2,1,0,25,0.4825,1.0,1.0,nan,437568,0.198
