tag,method,topology,scheme,nodes,cycles,gossip_k,lambda_reg,seed,node,n_local,test_acc,hinge_loss,duality_gap,consensus_err,comm_bytes
covtype,fedavg_svm,ring,iid,10,100,1,0.01,42,0,4000,0.6111,1.2030541982265857,nan,6.135887947658862,21600
covtype,fedavg_svm,ring,iid,10,100,1,0.01,42,1,4000,0.5681,1.7785717969285368,nan,6.135887947658862,21600
covtype,fedavg_svm,ring,iid,10,100,1,0.01,42,2,4000,0.5167,1.457109800025684,nan,6.135887947658862,21600
covtype,fedavg_svm,ring,iid,10,100,1,0.01,42,3,4000,0.5787,1.0469363367669213,nan,6.135887947658862,21600
covtype,fedavg_svm,ring,iid,10,100,1,0.01,42,4,4000,0.6165,1.442514921009183,nan,6.135887947658862,21600
covtype,fedavg_svm,ring,iid,10,100,1,0.01,42,5,4000,0.4942,2.5353453193652795,nan,6.135887947658862,21600
covtype,fedavg_svm,ring,iid,10,100,1,0.01,42,6,4000,0.5391,1.3116625995352142,nan,6.135887947658862,21600
covtype,fedavg_svm,ring,iid,10,100,1,0.01,42,7,4000,0.5218,1.224842774476533,nan,6.135887947658862,21600
covtype,fedavg_svm,ring,iid,10,100,1,0.01,42,8,4000,0.5593,1.8924615324439513,nan,6.135887947658862,21600
covtype,fedavg_svm,ring,iid,10,100,1,0.01,42,9,4000,0.5559,1.384188346537209,nan,6.135887947658862,21600
covtype,fedavg_svm,ring,dirichlet_1.0,10,100,1,0.01,42,0,4326,0.5492,0.8346174792441201,nan,5.3192922215213905,21600
covtype,fedavg_svm,ring,dirichlet_1.0,10,100,1,0.01,42,1,2902,0.5159,0.5300503705199723,nan,5.3192922215213905,21600
covtype,fedavg_svm,ring,dirichlet_1.0,10,100,1,0.01,42,2,4488,0.6469,0.6980723607861479,nan,5.3192922215213905,21600
covtype,fedavg_svm,ring,dirichlet_1.0,10,100,1,0.01,42,3,793,0.4878,0.6975914129248407,nan,5.3192922215213905,21600
covtype,fedavg_svm,ring,dirichlet_1.0,10,100,1,0.01,42,4,1582,0.5106,0.8020247792876346,nan,5.3192922215213905,21600
covtype,fedavg_svm,ring,dirichlet_1.0,10,100,1,0.01,42,5,3208,0.485,0.9217330133172559,nan,5.3192922215213905,21600
covtype,fedavg_svm,ring,dirichlet_1.0,10,100,1,0.01,42,6,6003,0.4841,2.171270623443456,nan,5.3192922215213905,21600
covtype,fedavg_svm,ring,dirichlet_1.0,10,100,1,0.01,42,7,6151,0.5159,0.602356118411417,nan,5.3192922215213905,21600
covtype,fedavg_svm,ring,dirichlet_1.0,10,100,1,0.01,42,8,3352,0.5159,0.43278070552030246,nan,5.3192922215213905,21600
covtype,fedavg_svm,ring,dirichlet_1.0,10,100,1,0.01,42,9,7195,0.5565,1.0397416317182535,nan,5.3192922215213905,21600
covtype,fedavg_svm,ring,dirichlet_0.3,10,100,1,0.01,42,0,746,0.5159,0.0,nan,4.92592522558297,21600
covtype,fedavg_svm,ring,dirichlet_0.3,10,100,1,0.01,42,1,3023,0.5502,0.4242842373510478,nan,4.92592522558297,21600
covtype,fedavg_svm,ring,dirichlet_0.3,10,100,1,0.01,42,2,6249,0.4841,0.0031602669148241883,nan,4.92592522558297,21600
covtype,fedavg_svm,ring,dirichlet_0.3,10,100,1,0.01,42,3,1084,0.5631,1.0187144528085972,nan,4.92592522558297,21600
covtype,fedavg_svm,ring,dirichlet_0.3,10,100,1,0.01,42,4,4177,0.506,0.9288422250875807,nan,4.92592522558297,21600
covtype,fedavg_svm,ring,dirichlet_0.3,10,100,1,0.01,42,5,301,0.577,1.4278525219364107,nan,4.92592522558297,21600
covtype,fedavg_svm,ring,dirichlet_0.3,10,100,1,0.01,42,6,10200,0.5159,0.005933154805638519,nan,4.92592522558297,21600
covtype,fedavg_svm,ring,dirichlet_0.3,10,100,1,0.01,42,7,4364,0.5159,0.2564948843474801,nan,4.92592522558297,21600
covtype,fedavg_svm,ring,dirichlet_0.3,10,100,1,0.01,42,8,3745,0.4984,1.5147879527939618,nan,4.92592522558297,21600
covtype,fedavg_svm,ring,dirichlet_0.3,10,100,1,0.01,42,9,6111,0.5721,1.2146236933316152,nan,4.92592522558297,21600
covtype,fedavg_svm,ring,dirichlet_0.1,10,100,1,0.01,42,0,111,0.5159,0.0,nan,3.375869338914697,21600
covtype,fedavg_svm,ring,dirichlet_0.1,10,100,1,0.01,42,1,2160,0.4841,0.028998665145180784,nan,3.375869338914697,21600
covtype,fedavg_svm,ring,dirichlet_0.1,10,100,1,0.01,42,2,11171,0.4841,0.0,nan,3.375869338914697,21600
covtype,fedavg_svm,ring,dirichlet_0.1,10,100,1,0.01,42,3,110,0.5159,0.1928978235925337,nan,3.375869338914697,21600
covtype,fedavg_svm,ring,dirichlet_0.1,10,100,1,0.01,42,4,4214,0.4841,0.08783256929144742,nan,3.375869338914697,21600
covtype,fedavg_svm,ring,dirichlet_0.1,10,100,1,0.01,42,5,1,0.5159,0.0,nan,3.375869338914697,21600
covtype,fedavg_svm,ring,dirichlet_0.1,10,100,1,0.01,42,6,302,0.5159,0.0,nan,3.375869338914697,21600
covtype,fedavg_svm,ring,dirichlet_0.1,10,100,1,0.01,42,7,16592,0.5159,0.00018388948359015884,nan,3.375869338914697,21600
covtype,fedavg_svm,ring,dirichlet_0.1,10,100,1,0.01,42,8,1060,0.5337,1.2476171674322285,nan,3.375869338914697,21600
covtype,fedavg_svm,ring,dirichlet_0.1,10,100,1,0.01,42,9,4279,0.5159,1.9958194842384065,nan,3.375869338914697,21600
covtype,fedavg_svm,ring,label_skew,10,100,1,0.01,42,0,4109,0.5159,0.0,nan,2.188777550758176,21600
covtype,fedavg_svm,ring,label_skew,10,100,1,0.01,42,1,3892,0.4841,0.0,nan,2.188777550758176,21600
covtype,fedavg_svm,ring,label_skew,10,100,1,0.01,42,2,4109,0.5159,0.0,nan,2.188777550758176,21600
covtype,fedavg_svm,ring,label_skew,10,100,1,0.01,42,3,3892,0.4841,0.0,nan,2.188777550758176,21600
covtype,fedavg_svm,ring,label_skew,10,100,1,0.01,42,4,4108,0.5159,0.0,nan,2.188777550758176,21600
covtype,fedavg_svm,ring,label_skew,10,100,1,0.01,42,5,3892,0.4841,0.0,nan,2.188777550758176,21600
covtype,fedavg_svm,ring,label_skew,10,100,1,0.01,42,6,4108,0.5159,0.0,nan,2.188777550758176,21600
covtype,fedavg_svm,ring,label_skew,10,100,1,0.01,42,7,3891,0.4841,0.0,nan,2.188777550758176,21600
covtype,fedavg_svm,ring,label_skew,10,100,1,0.01,42,8,4108,0.5159,0.0,nan,2.188777550758176,21600
covtype,fedavg_svm,ring,label_skew,10,100,1,0.01,42,9,3891,0.4841,0.0,nan,2.188777550758176,21600
covtype,fedavg_svm,random_kout,iid,10,100,1,0.01,42,0,4000,0.5825,1.509013062730707,nan,5.909941412615668,21600
covtype,fedavg_svm,random_kout,iid,10,100,1,0.01,42,1,4000,0.5447,2.3089828404167143,nan,5.909941412615668,21600
covtype,fedavg_svm,random_kout,iid,10,100,1,0.01,42,2,4000,0.516,2.820620651929271,nan,5.909941412615668,21600
covtype,fedavg_svm,random_kout,iid,10,100,1,0.01,42,3,4000,0.5691,1.3182792654573754,nan,5.909941412615668,21600
covtype,fedavg_svm,random_kout,iid,10,100,1,0.01,42,4,4000,0.541,1.4402196405860772,nan,5.909941412615668,21600
covtype,fedavg_svm,random_kout,iid,10,100,1,0.01,42,5,4000,0.6221,1.0769404298067402,nan,5.909941412615668,21600
covtype,fedavg_svm,random_kout,iid,10,100,1,0.01,42,6,4000,0.6255,0.9865210352425753,nan,5.909941412615668,21600
covtype,fedavg_svm,random_kout,iid,10,100,1,0.01,42,7,4000,0.5353,1.6207876178146223,nan,5.909941412615668,21600
covtype,fedavg_svm,random_kout,iid,10,100,1,0.01,42,8,4000,0.5241,1.385666070727053,nan,5.909941412615668,21600
covtype,fedavg_svm,random_kout,iid,10,100,1,0.01,42,9,4000,0.5951,1.4431498839016967,nan,5.909941412615668,21600
covtype,fedavg_svm,random_kout,dirichlet_1.0,10,100,1,0.01,42,0,4326,0.484,1.2257070244464563,nan,5.213918005714152,21600
covtype,fedavg_svm,random_kout,dirichlet_1.0,10,100,1,0.01,42,1,2902,0.5159,0.8344464522170042,nan,5.213918005714152,21600
covtype,fedavg_svm,random_kout,dirichlet_1.0,10,100,1,0.01,42,2,4488,0.5745,0.9620326047731473,nan,5.213918005714152,21600
covtype,fedavg_svm,random_kout,dirichlet_1.0,10,100,1,0.01,42,3,793,0.4841,1.1651193818377874,nan,5.213918005714152,21600
covtype,fedavg_svm,random_kout,dirichlet_1.0,10,100,1,0.01,42,4,1582,0.4841,1.3798804434428904,nan,5.213918005714152,21600
covtype,fedavg_svm,random_kout,dirichlet_1.0,10,100,1,0.01,42,5,3208,0.5392,0.4827384460313654,nan,5.213918005714152,21600
covtype,fedavg_svm,random_kout,dirichlet_1.0,10,100,1,0.01,42,6,6003,0.5624,1.509727714508066,nan,5.213918005714152,21600
covtype,fedavg_svm,random_kout,dirichlet_1.0,10,100,1,0.01,42,7,6151,0.5474,0.5893478280959789,nan,5.213918005714152,21600
covtype,fedavg_svm,random_kout,dirichlet_1.0,10,100,1,0.01,42,8,3352,0.5159,0.4141944696546936,nan,5.213918005714152,21600
covtype,fedavg_svm,random_kout,dirichlet_1.0,10,100,1,0.01,42,9,7195,0.5935,0.9494775816781257,nan,5.213918005714152,21600
covtype,fedavg_svm,random_kout,dirichlet_0.3,10,100,1,0.01,42,0,746,0.5159,0.0,nan,4.6548068714102895,21600
