dataset,scheme,num_clients,method,test_acc,elapsed_s,seed
covtype,iid,10,centralized,0.75765,0.42,42
covtype,iid,10,fedavg_svm,0.67715,2.05,42
covtype,iid,10,bdsvm,0.7374,1.68,42
covtype,iid,10,fdr_svm,0.68395,2.25,42
covtype,iid,10,fedssl_amc,0.55815,1.37,42
covtype,iid,50,centralized,0.75765,0.43,42
covtype,iid,50,fedavg_svm,0.6779,10.03,42
covtype,iid,50,bdsvm,0.74595,1.71,42
covtype,iid,50,fdr_svm,0.6823,11.09,42
covtype,iid,50,fedssl_amc,0.68365,1.28,42
covtype,dirichlet_a1.0,10,centralized,0.75765,0.42,42
covtype,dirichlet_a1.0,10,fedavg_svm,0.60535,2.03,42
covtype,dirichlet_a1.0,10,bdsvm,0.73305,1.54,42
covtype,dirichlet_a1.0,10,fdr_svm,0.66665,2.26,42
covtype,dirichlet_a1.0,10,fedssl_amc,0.64565,1.3,42
covtype,dirichlet_a1.0,50,centralized,0.75765,0.42,42
covtype,dirichlet_a1.0,50,fedavg_svm,0.6655,9.95,42
covtype,dirichlet_a1.0,50,bdsvm,0.73905,1.86,42
covtype,dirichlet_a1.0,50,fdr_svm,0.64545,11.05,42
covtype,dirichlet_a1.0,50,fedssl_amc,0.64975,1.24,42
covtype,dirichlet_a0.3,10,centralized,0.75765,0.43,42
covtype,dirichlet_a0.3,10,fedavg_svm,0.60535,2.03,42
covtype,dirichlet_a0.3,10,bdsvm,0.74495,1.57,42
covtype,dirichlet_a0.3,10,fdr_svm,0.6884,2.27,42
covtype,dirichlet_a0.3,10,fedssl_amc,0.63595,1.11,42
covtype,dirichlet_a0.3,50,centralized,0.75765,0.42,42
covtype,dirichlet_a0.3,50,fedavg_svm,0.66825,9.84,42
covtype,dirichlet_a0.3,50,bdsvm,0.7441,1.75,42
covtype,dirichlet_a0.3,50,fdr_svm,0.6892,11.05,42
covtype,dirichlet_a0.3,50,fedssl_amc,0.64865,1.22,42
covtype,dirichlet_a0.1,10,centralized,0.75765,0.43,42
covtype,dirichlet_a0.1,10,fedavg_svm,0.5297,2.01,42
covtype,dirichlet_a0.1,10,bdsvm,0.7403,1.36,42
covtype,dirichlet_a0.1,10,fdr_svm,0.6879,2.26,42
covtype,dirichlet_a0.1,10,fedssl_amc,0.60365,1.08,42
covtype,dirichlet_a0.1,50,centralized,0.75765,0.42,42
covtype,dirichlet_a0.1,50,fedavg_svm,0.53365,8.57,42
covtype,dirichlet_a0.1,50,bdsvm,0.73715,1.73,42
covtype,dirichlet_a0.1,50,fdr_svm,0.6651,9.64,42
covtype,dirichlet_a0.1,50,fedssl_amc,0.57655,0.91,42
covtype,label_skew,10,centralized,0.75765,0.43,42
covtype,label_skew,10,fedavg_svm,0.51285,2.0,42
covtype,label_skew,10,bdsvm,0.7414,1.62,42
covtype,label_skew,10,fdr_svm,0.6926,2.26,42
covtype,label_skew,10,fedssl_amc,0.4935,0.56,42
covtype,label_skew,50,centralized,0.75765,0.42,42
covtype,label_skew,50,fedavg_svm,0.5833,9.79,42
covtype,label_skew,50,bdsvm,0.74535,1.72,42
covtype,label_skew,50,fdr_svm,0.62575,11.11,42
covtype,label_skew,50,fedssl_amc,0.4935,0.58,42
