dataset,scheme,num_clients,method,test_acc,elapsed_s,seed
rcv1,iid,10,centralized,0.9555,0.05,42
rcv1,iid,10,fedavg_svm,0.908,4.79,42
rcv1,iid,10,bdsvm,0.9475,24.3,42
rcv1,iid,10,fdr_svm,0.9075,5.87,42
rcv1,iid,10,fedssl_amc,nan,0.0,42
rcv1,dirichlet_a1.0,10,centralized,0.9555,0.03,42
rcv1,dirichlet_a1.0,10,fedavg_svm,0.922,4.7,42
rcv1,dirichlet_a1.0,10,bdsvm,0.952,27.83,42
rcv1,dirichlet_a1.0,10,fdr_svm,0.91,5.77,42
rcv1,dirichlet_a1.0,10,fedssl_amc,nan,0.0,42
rcv1,dirichlet_a0.3,10,centralized,0.9555,0.04,42
rcv1,dirichlet_a0.3,10,fedavg_svm,0.9075,4.97,42
rcv1,dirichlet_a0.3,10,bdsvm,0.947,26.32,42
rcv1,dirichlet_a0.3,10,fdr_svm,0.9035,7.74,42
rcv1,dirichlet_a0.3,10,fedssl_amc,nan,0.0,42
rcv1,dirichlet_a0.1,10,centralized,0.9555,0.05,42
rcv1,dirichlet_a0.1,10,fedavg_svm,0.9015,4.94,42
rcv1,dirichlet_a0.1,10,bdsvm,0.9415,26.26,42
rcv1,dirichlet_a0.1,10,fdr_svm,0.9095,5.24,42
rcv1,dirichlet_a0.1,10,fedssl_amc,nan,0.0,42
rcv1,label_skew,10,centralized,0.9555,0.03,42
rcv1,label_skew,10,fedavg_svm,0.9055,4.74,42
rcv1,label_skew,10,bdsvm,0.952,26.56,42
rcv1,label_skew,10,fdr_svm,0.911,6.86,42
rcv1,label_skew,10,fedssl_amc,nan,0.0,42
rcv1,iid,10,centralized,0.9555,0.06,42
rcv1,iid,10,fedavg_svm,0.908,5.28,42
rcv1,iid,10,bdsvm,0.9475,26.2,42
rcv1,iid,10,fdr_svm,0.9075,6.46,42
rcv1,iid,10,fedssl_amc,nan,0.0,42
rcv1,dirichlet_a1.0,10,centralized,0.9555,0.04,42
rcv1,dirichlet_a1.0,10,fedavg_svm,0.922,5.12,42
rcv1,dirichlet_a1.0,10,bdsvm,0.952,25.67,42
rcv1,dirichlet_a1.0,10,fdr_svm,0.91,6.32,42
rcv1,dirichlet_a1.0,10,fedssl_amc,nan,0.0,42
rcv1,dirichlet_a0.3,10,centralized,0.9555,0.04,42
rcv1,dirichlet_a0.3,10,fedavg_svm,0.9075,5.01,42
rcv1,dirichlet_a0.3,10,bdsvm,0.947,27.09,42
rcv1,dirichlet_a0.3,10,fdr_svm,0.9035,7.18,42
rcv1,dirichlet_a0.3,10,fedssl_amc,nan,0.0,42
rcv1,dirichlet_a0.1,10,centralized,0.9555,0.06,42
rcv1,dirichlet_a0.1,10,fedavg_svm,0.9015,5.03,42
rcv1,dirichlet_a0.1,10,bdsvm,0.9415,28.15,42
rcv1,dirichlet_a0.1,10,fdr_svm,0.9095,5.74,42
rcv1,dirichlet_a0.1,10,fedssl_amc,nan,0.0,42
rcv1,label_skew,10,centralized,0.9555,0.04,42
rcv1,label_skew,10,fedavg_svm,0.9055,5.13,42
