dataset,scheme,num_clients,method,test_acc,elapsed_s,seed
rcv1,iid,10,centralized,0.9555,0.02,42
rcv1,iid,10,fedavg_svm,0.908,2.22,42
rcv1,iid,10,bdsvm,0.6255,0.29,42
rcv1,iid,10,fdr_svm,0.9075,2.91,42
rcv1,iid,10,fedssl_amc,0.897,5.24,42
rcv1,dirichlet_a1.0,10,centralized,0.9555,0.02,42
rcv1,dirichlet_a1.0,10,fedavg_svm,0.922,2.15,42
rcv1,dirichlet_a1.0,10,bdsvm,0.6255,0.31,42
rcv1,dirichlet_a1.0,10,fdr_svm,0.91,2.85,42
rcv1,dirichlet_a1.0,10,fedssl_amc,0.815,5.2,42
rcv1,dirichlet_a0.3,10,centralized,0.9555,0.02,42
rcv1,dirichlet_a0.3,10,fedavg_svm,0.9075,2.13,42
rcv1,dirichlet_a0.3,10,bdsvm,0.6255,0.31,42
rcv1,dirichlet_a0.3,10,fdr_svm,0.9035,2.91,42
rcv1,dirichlet_a0.3,10,fedssl_amc,0.864,4.9,42
rcv1,dirichlet_a0.1,10,centralized,0.9555,0.02,42
rcv1,dirichlet_a0.1,10,fedavg_svm,0.9015,1.93,42
rcv1,dirichlet_a0.1,10,bdsvm,0.6255,0.31,42
rcv1,dirichlet_a0.1,10,fdr_svm,0.9095,2.57,42
rcv1,dirichlet_a0.1,10,fedssl_amc,0.916,3.81,42
rcv1,label_skew,10,centralized,0.9555,0.03,42
rcv1,label_skew,10,fedavg_svm,0.9055,2.06,42
rcv1,label_skew,10,bdsvm,0.6255,0.32,42
rcv1,label_skew,10,fdr_svm,0.911,2.85,42
rcv1,label_skew,10,fedssl_amc,0.5165,5.18,42
